,book_id,recommendation_score,num_pages,publication_year,similar_books
15,175248,0.5455648394422083,,,"['275470', '420307', '8038401', '9367664', '17286698', '3264608', '967423', '11206174', '23792', '2255345', '10575798', '499214', '911954', '463776', '32462', '352000', '13064259', '21950347']"
16,13579397,0.4293677443991452,564.0,2012.0,"['7455727', '7352447', '12377549', '2412563', '11570454', '597659', '13127347', '2865290', '3369511', '6034660', '6987625', '17734542', '7015378']"
17,16132671,0.5113018949178493,3520.0,,"['17675258', '17465834', '8533276', '893290', '27206454', '460019', '13071705', '204851', '1249549', '6631711', '26074148', '8093859', '621963', '12426698', '1336826', '18599689', '16678349', '17842983']"
18,39307,0.5135212707202935,490.0,2006.0,"['128496', '41538', '2340561', '156298', '2334410', '544385', '1007001', '13330100', '7095798', '170218', '504699', '674687']"
19,16107050,0.36845939946413797,277.0,2013.0,"['18074687', '18692520', '25679123', '25744874', '18631167', '19140497', '17257322', '18491811', '18714987', '25609111', '18478892', '15789207', '18684843', '18338591']"
20,12814582,0.5220874661648643,352.0,2012.0,"['13513350', '11464996', '8739826', '13364211', '13429616', '9391978', '11397479', '15798661', '12814612', '12476366', '11042036', '7967563', '679465', '11593977', '12711152', '13260423', '11697763', '13061475']"
21,3475268,0.6866217163641514,504.0,2009.0,"['6289935', '6782468', '3128411', '3556419', '2220889', '4453371', '12305703', '8559047', '7352840', '6329337', '2295830', '2398197', '224220']"
22,16217442,0.44876987564403414,288.0,2013.0,"['13624584', '16650652', '16054807', '7135014', '17573643', '12231929', '10799644', '16217444', '9860899', '15822336', '17704852', '18466571', '27230933', '13355017', '1505932', '13367319', '17162377', '12987423']"
23,29093476,0.4109598497016005,352.0,2016.0,[]
24,17322045,0.5004133883732996,184.0,2012.0,"['17244660', '18686404', '15990704', '18719485', '14423057', '25634449', '24803668', '12356958', '23505860', '18298438', '17836237', '18285846', '29079075', '18660041', '13609665', '29086638', '2260455']"
25,6620466,0.5060127979365355,336.0,2010.0,"['9658312', '7303510', '9188333', '9762014', '6480142', '452141', '9873443', '8409245', '6447905', '1434956', '8363695', '9698287', '1639713', '9873445', '2546655', '7859492', '6944172', '6908789']"
26,1113545,0.6650041843380571,404.0,2007.0,"['14501560', '6553209', '2775759', '121813', '1240035', '5557651', '1726737']"
27,25135715,0.5366317436034878,186.0,2015.0,"['27831851', '18959979', '18000594', '22667105', '13162992', '18215609', '15986924', '15779941', '18518542', '22038911', '18858769', '23356302', '20628154', '22103864', '20930162', '18070309', '23306129', '20869836']"
28,941226,0.44511399870656904,212.0,1982.0,"['809796', '186182', '1535273', '715273', '952357', '3009100', '1300338', '84187', '338329']"
29,873920,0.4740028826324405,350.0,1994.0,"['1412860', '285810', '937105', '50535', '687352', '67729', '60160', '50386', '18589836', '235785', '382468', '652609', '218633', '153479']"
30,33024398,0.49151989315190925,192.0,2017.0,[]
31,2439888,0.48760626830220666,581.0,2007.0,"['6287972', '7812372', '3840040', '282948', '7636552', '4039512', '7958364', '437787', '3577266', '264067']"
32,738754,0.4637893489952966,266.0,2008.0,"['7818881', '176556', '469491', '624716', '475444', '107669', '3174495', '6412843', '1840934', '345966', '848290', '30337', '222387']"
33,1390326,0.4269842363105802,416.0,2005.0,"['6578970', '1037550', '6461886', '1261059', '49386', '838855', '72025', '401434', '260224', '338113', '1261176', '1129519', '165654', '789185', '939395', '939992', '106319']"
34,15670,0.567187956690956,370.0,,"['430871', '322067', '3369511', '1213337', '4558004', '142470', '2381089', '70581', '7042374', '8488164', '124115', '90622', '102084']"
35,11309018,0.6515939455381878,422.0,2011.0,"['6980720', '3615152', '5155532', '6377397', '6889348', '7039742', '12184913', '7106064', '10114276', '3937718', '616694', '11254850', '82765', '3066582', '16100980', '8678078', '17572806', '7882217']"
36,4241738,0.47300819162281194,256.0,2009.0,"['6261064', '3587999', '5136179', '6939876', '12768', '6261395', '966973', '2151311', '8012287', '12931282', '6556422', '552490', '6040421', '6397097', '9572054', '818016', '4906773', '2346670']"
37,8369680,0.4830408736784382,243.0,2011.0,"['8608453', '9683225', '8428049', '8273171', '1228841', '7507901', '8464957', '6640500', '8796700', '8579199', '9666830', '7757634', '8253711', '8872162', '5141013', '27074937', '9519916', '8425687']"
38,22694784,0.46441602128080495,288.0,2015.0,"['15814197', '24893041', '21535284', '22450745', '21898304', '25652878', '16130164', '6979452', '17332297', '15762112', '17927298', '25904467', '6284063', '22891495', '23453137', '22293511', '25646358']"
39,18601927,0.47348504059094554,295.0,2014.0,"['17675121', '49047', '12814333', '18490622', '22130073', '31559914', '18490637', '827276', '18114114', '18596555', '13591877', '20300230', '24331491', '9678305', '18492612', '22544926', '9545851', '17262149']"
40,7114042,0.49395503156091547,414.0,2010.0,"['2336321', '62319', '7044446', '5525372', '6767883', '519663', '3430165', '9765684', '129022', '6555008', '6610498', '10557809', '6614280', '9738582', '26141160', '7242960', '1121497']"
41,906901,0.4604320299071065,420.0,,"['64949', '4673605', '10607', '219405', '157533', '908092', '369594', '3335519', '1467324', '11557']"
42,14069,0.6422333998562089,398.0,,"['271356', '74273', '2305862', '15793208', '6375862', '17910078', '7904453', '333356', '880461', '10301749', '13996', '70581', '285208', '3298088', '61904', '821583', '6306686']"
43,219110,0.5713424356717085,544.0,,"['6072232', '2414574', '102137', '8547207', '7456030', '2010579', '1400134', '645954', '3407703', '11291902', '6922360', '376663', '7492383', '2971026', '8588957', '440329', '6680159', '9931989']"
44,3249541,0.5149421018202427,,2009.0,"['6578909', '7168592', '9537727', '12184913', '4926996', '1718577', '2602613', '6918087', '3067189', '2475768', '7655716', '1947017', '47910', '3002302', '595602', '6609704', '6764787']"
45,1157539,0.4270684917043378,256.0,2006.0,"['26032887', '16115083', '17675850', '811337', '262551', '7737814', '16059421', '13549292', '15717846', '16101149', '1811280', '397202', '1451045', '12159908', '777039']"
46,108064,0.5193746339699491,452.0,,"['68842', '32462', '826251', '7986449', '219596', '103029', '219635', '12431622', '2265582', '34872', '700449', '455802', '11291', '182567']"
47,186074,0.8590710789954076,662.0,2007.0,"['2767793', '9300768', '6342483', '8253920', '55398', '6585201', '45108', '2890090', '47957', '3428935', '1140216']"
48,194738,0.5045269876995435,292.0,2007.0,"['3261627', '6056510', '763583', '6350554', '9677446', '6614242', '625858', '7114817', '2285419']"
49,194739,0.4380896907456694,184.0,2001.0,"['1146863', '765949', '34466', '971986', '62808', '6567438', '765932', '814937', '237118', '14033', '573606', '261495', '2419439', '196150', '535316', '177404', '143440', '765957']"
50,10650803,0.5405366115420064,353.0,2011.0,"['27238448', '10650775', '17834438', '6450262', '7160522', '8547975', '13539451', '10880685', '9798470', '11458531', '13409305', '6991240', '6669826', '15995198', '8025911', '17884655']"
51,6556422,0.42214567708297274,240.0,2009.0,"['6040421', '10780523', '5774679', '1965975', '3258374', '643095', '6730372', '7658462', '7298656', '15795038', '3229327', '19246477', '7251081', '3422254', '6276413', '6477991', '1643535', '5168678']"
52,6945369,0.4307096030149883,170.0,2009.0,"['7775974', '829259', '12852767', '24694081', '26067164', '20764874', '9923934', '6071127', '6979061', '6690215', '26089081', '9663474', '7860885', '1074251', '13279716', '25047101', '6927743', '12464152']"
53,14976,0.4864648206211919,,,"['100623', '5180784', '55453', '3423708', '14977', '8505701', '247901', '1971721', '2270906', '457248', '3198495', '574350', '2636157', '1674303', '30251']"
54,6537058,0.4335333634038565,334.0,2009.0,"['6367137', '6304332', '6087903', '4103282', '4915350', '8037903', '8551159', '6000234', '2942419', '6453535', '12381732', '4138041', '1921383', '639061', '3944722', '6856588', '6592513', '400535']"
55,19288530,0.488579849562653,464.0,2014.0,"['18007558', '18166986', '2729396', '7003320', '5103587', '2379378', '4332482', '23883752', '11768286', '2644375']"
56,477338,0.6083589453035547,284.0,2003.0,"['814487', '333938', '181437', '394749', '6321718', '53135']"
57,17393102,0.4679897036317389,535.0,2013.0,"['290452', '10184855', '4039512', '1320107', '1040469', '15989176', '13502958', '15808474', '9471065', '2470411', '8411749', '6585955', '8512555', '2386455', '6579183']"
58,6928840,0.38239890155151757,566.0,2010.0,"['1141432', '3977279', '885099', '13126214', '6097660', '495411', '6751642', '13354423', '6460716', '6396207', '7872723', '2473585', '4836077', '6586884', '5646082', '7167845', '317698']"
59,15847757,0.6151046498633399,366.0,2015.0,"['14755025', '28008653', '13302279', '17931385', '18713438', '16169012', '11289356', '15307649', '13583581', '15740790', '24173870', '12543814', '18456157', '15831968', '17611514', '13504881']"
60,13234487,0.5850769748185083,390.0,2012.0,"['15985405', '13507265', '13416697', '13581798', '15846228', '10575508', '13486553', '12811730', '13510645', '13517786', '12716317', '12750745']"
61,12792988,0.5235109723608761,298.0,2012.0,"['11647944', '10634286', '12797906', '6931234', '11468074', '11185432', '12367267', '10194637', '12814540', '11362198', '10352973', '12924426', '13425149', '11850771', '10535458', '12432229', '9277339', '11250671']"
62,9585036,0.5812146599219283,368.0,2011.0,"['398332', '11162228', '609902', '6552044', '7235718', '535766', '6350554', '13075659', '10889249', '13124986', '1590575']"
63,29738154,0.5310878242956599,,2016.0,"['28372798', '33832888', '22585587', '29986315', '29966062', '28450175', '25974708', '25059637', '27803842', '18395121', '23496336', '26215498', '23488698', '17287235', '25803733', '33123692']"
64,185117,0.4684631202172864,,,"['77887', '6341582', '1122002', '175940', '7024394', '2412562', '102137', '1132872', '1400134', '7912998', '2473860', '1296444', '185163', '2693142', '6058062', '362021', '778179', '389099']"
65,10063343,0.5923934510472004,344.0,2011.0,"['10418404', '9443049', '10764210', '10583186', '9765684', '9738483', '11424566', '9498555', '8379305', '17830545', '17256775', '5586134', '10853729', '5975759', '11293194']"
66,22749511,0.41470036709789304,192.0,2015.0,"['22065512', '24396880', '17831753', '17402724', '22291640', '23168806', '22392926', '23383399', '21402784', '21875736', '23567756', '22733612', '25663670', '23359992', '17924944', '24721599', '22009384', '20588931']"
67,5338,0.6263769544579444,288.0,2003.0,"['428537', '8700132', '651799', '556967', '923541', '218659', '32552', '19161904', '1990157', '6665330', '212525', '7842509', '4665', '2918374', '774783']"
68,13449677,0.5783452164355194,352.0,2013.0,"['17696369', '21946861', '18545084', '14741366', '13326795', '25792864', '13055677', '15768498', '16046507', '13494365', '17208007', '10346185', '13665100', '12081652']"
69,15015624,0.4055217510315899,320.0,2013.0,"['15791055', '15755239', '15790982', '17262283', '16075949', '16153997', '8479679', '15938469', '15814441', '15827644', '13538880', '17323431', '16075911', '18631886', '15823466', '16030634', '18627399', '14814719']"
70,5099602,0.5708956318489968,352.0,2009.0,"['10165761', '10445208', '2964700', '40158', '963508', '12812550', '8069828', '7877549', '2550219', '8288246', '6580510']"
71,27206431,0.46010286881901064,450.0,2016.0,"['17131859', '650750', '8879516', '28179656', '18096579', '21535640', '12970063', '20518787', '23620301', '17921102', '25986774', '23719342', '25901253', '17694319', '25330014', '24044142', '22181319', '18489517']"
72,27385330,0.40198029559046117,210.0,2015.0,"['25555957', '25706993', '29091810', '28686179', '25734442', '18111134', '29101180', '27420773', '17424407', '29101693', '24817462', '30358338', '25391336', '24831535', '27416519', '24893776', '22046412', '34292863']"
73,676924,0.7310062001524226,310.0,,"['7091713', '6267237', '3099787', '263172', '6421588', '675615']"
74,23561467,0.44998027424874837,410.0,2015.0,"['22062213', '17312156', '17237161', '13508421', '16181630', '20522640', '23496336', '17333180', '26797462', '28815482', '17204332', '28114396', '9755769', '21528313', '22665494', '18716722', '16085457', '17999681']"
75,147844,0.6275928247340179,596.0,2004.0,"['641910', '13920', '987508', '734747', '363187', '446946', '129312', '176789', '111012', '338132']"
76,147842,0.6191178869821754,679.0,2007.0,"['6304351', '446946', '13920', '734747', '222838', '111012', '363187', '14014', '987508', '387709']"
77,147843,0.6578743316446237,471.0,2000.0,"['987508', '2880573', '111012', '13920', '641910', '1022209', '66317', '176789', '21060', '129312', '264065', '720977']"
78,691582,0.4752658754988272,283.0,2003.0,"['691583', '752459', '1692145', '1448327', '81259', '6332907', '1138069', '1155173', '463988']"
79,25659433,0.46193040012830267,352.0,2016.0,"['12987423', '10315764', '20404555', '25489511', '22749736', '19276094', '11253020', '20518892', '25615226', '16059411', '9250950', '25791216', '12291646', '24611470', '433716', '16239655', '11170698']"
80,25659436,0.41503279885106614,304.0,2016.0,"['26173359', '23510085', '33509076', '27414411', '27015399', '22400511', '26244485', '26032825', '25796019', '25894017', '28524058', '22639535', '25874097', '24157098', '28954189', '31371729']"
81,8585377,0.49363201707381665,304.0,2011.0,"['6350554', '7303030', '12486238', '8489034', '13518663', '6566955', '11771566', '10573384', '15746786', '9740560']"
82,17998,0.5185320692098193,309.0,2005.0,"['47910', '47618', '112968', '106129', '334012', '4617762', '3485562', '215542', '59263', '107669', '58894', '519933']"
83,1375896,0.6544721742662932,596.0,2008.0,"['5801741', '187315', '2854962', '333953', '6580970', '8875620', '5155532', '2073686', '3615152', '6185409', '298568', '47618', '6889348']"
84,18176532,0.5178548803594412,328.0,2013.0,"['18306582', '17888320', '17853385', '16068999', '12682437', '13337559', '17705776', '16280307', '15725316', '24039847', '25834619', '13065743', '13452658', '35232671', '17348062', '13131282', '4916989', '18621331']"
85,1122023,0.49529358915878274,247.0,2006.0,"['10845465', '9367827', '23841', '1035647', '1666365', '6684490', '13086449', '25884402', '13393308', '13556139', '13040265', '17563580', '12296004', '11842328', '13052395', '2583561', '7980210', '15849654']"
86,1122026,0.409329090709339,13.0,2007.0,"['8038401', '3547312', '2808929', '6997385', '293098', '763498', '33554', '911954', '177866', '1911706', '2452401', '11555', '179738', '23793', '8889080']"
87,28660,0.5222754818387819,830.0,2009.0,"['6900601', '10928630', '3531469', '437790', '1348596', '8684418', '9601072', '153220', '202039', '5037673', '6401209', '5863651', '3391271', '4914044', '57691', '498214', '469208', '7564251']"
88,13507921,0.48734149169222263,311.0,2014.0,"['15697915', '12543814', '18371377', '13399051', '12852064', '16081764', '10606258', '12568641', '9982010', '11558268', '11413298', '18297655', '9755769', '19471754', '11974142', '13649079', '13533644']"
89,6775624,0.5858418146035299,200.0,2010.0,"['6613611', '6494601', '6523876', '7136755', '497248', '10261532', '6322519', '1896344']"
90,6775623,0.5670493075937784,200.0,2010.0,"['5321787', '8079278', '6801621', '5147134', '8161093', '1997428', '6801616', '6769060']"
91,13878,0.5685538200998838,448.0,2007.0,"['1040470', '568095', '243298', '558656', '1847010', '13224616', '3115493']"
92,1459209,0.44362072998641044,616.0,2007.0,"['1385783', '2436617', '540832', '1140216', '219811', '97967', '1146575', '342659', '793297', '3839996', '384352', '208740', '367336', '821583']"
93,31429077,0.38595032401286417,360.0,2017.0,[]
94,1004234,0.4626312426916491,222.0,,"['143223', '268187', '899146', '10954417', '17190364', '73930', '1800794', '16184825', '1939096']"
95,833332,0.5418423507773108,488.0,2007.0,"['3240083', '8927997', '3457753', '6750319', '11248603', '1369202', '10066399', '2144899', '4479186', '7507920', '16248073', '13356176', '6553137', '13262797', '4836030', '15735587', '6609704', '11046072']"
96,6474771,0.4825504870587652,360.0,,"['8161632', '3064985', '501910', '3472820', '3817859', '6380822', '8070049', '4070493', '5152561', '3649147', '6076413', '5495243']"
97,9466032,0.5777803972769908,328.0,2011.0,"['6917434', '15991959', '6973671', '9588207', '332626', '7824314', '8444951', '9462664', '9668661', '7197913', '8873458', '10471419', '6730372', '794615']"
98,409796,0.44642507432970413,155.0,2008.0,"['40372', '1705071', '109488', '1531197', '399039', '1881716', '938637', '715274']"
99,395953,0.4870560660686694,903.0,2001.0,"['401434', '2386455', '437785', '2443516', '274416', '181494', '91965', '558681', '74271', '2272111', '1937398']"
100,11365223,0.4102524676699259,314.0,2011.0,"['10880532', '11938249', '13505839', '6632179', '11451305', '10817583', '11984788', '12922874', '18776543', '11861894', '85570', '8285655', '18842194', '6555025', '11713438', '15859585', '10046509', '520967']"
101,7980210,0.45856215679698276,297.0,2012.0,"['9141341', '10213208', '10839173', '107012', '19543244', '207475', '785698', '609873', '178234', '1121760', '11242882', '9458232', '12989420', '12966867', '18737', '72469', '129352']"
102,11795449,0.5764265234002781,544.0,2012.0,"['10552088', '36642', '6871095', '13533687', '7109229', '7914258', '4720743', '4901837', '122354', '11433585', '9938772', '430349', '16250923', '17454095']"
103,1599297,0.5891011921026948,334.0,,"['7199017', '5830325', '3474898', '9618561', '6177429', '7553944', '3331431', '293616', '9316050', '10575508', '6308141', '7181792']"
104,12063158,0.5159485451067078,314.0,2010.0,"['7245329', '479326', '24766', '9460533', '9550620', '2951911', '6503718', '4907084', '5278010', '8677937', '6308417', '21758510', '7739310', '7129468', '6681333', '2090640', '1396684']"
105,23005844,0.4178365622677921,130.0,2014.0,"['23587626', '26092157', '25117064', '25946033', '24964078', '24702908', '25872939', '25884285', '18622531', '25268635', '22006563', '25342432', '22031480', '26016291', '26047972']"
106,18271251,0.37296067568389524,256.0,2013.0,"['35155299', '6712067', '25365390', '18600069', '18740114', '27984411', '16071908', '17971347', '17789688', '6399307', '16150019', '16050185', '23183767', '91813', '16093271', '29065483', '13264490', '13182274']"
107,7642463,0.47611484600729803,406.0,,"['11933', '248533', '77364', '567708', '97961', '12594400', '473869', '92718', '51106', '70581', '10783217', '367158', '5552232', '176261']"
108,6383800,0.546586566491018,,,"['5933646', '13860', '2662886', '332626', '2430999', '27880', '8364977', '11594370', '175348', '6334518', '5892240', '6973671', '2073686', '948090']"
109,17218790,0.43087649983258586,250.0,2013.0,"['437093', '13538708', '15161', '20499240', '12009173', '15791586', '17165902', '7923006', '2939570', '22886868', '17910048', '12941033', '10836728', '9955669', '16164271', '6881685', '16789']"
110,13423867,0.4194473008554245,323.0,2012.0,"['13410587', '15927475', '17281625', '16005251', '17887777', '13139452', '3651626', '17177998', '15893123', '15851448', '10229008', '11735726', '11843054', '14467976', '9440162', '18629086', '15739430']"
111,7068147,0.4390136983313601,458.0,2011.0,"['7940923', '6619499', '10795427', '8601666', '10890463', '9376345', '7817785', '9760071', '6261023', '10324808', '7171882']"
112,22489597,0.4705788152465282,6.0,2015.0,"['17558151', '20818790', '16102412', '13138736', '20345368', '34733250', '16181322', '16067008', '13643876', '15702526', '17368138', '22604923', '17378508', '17155793', '16148644', '12873027']"
113,6376816,0.4494080504470175,325.0,2009.0,"['6367137', '6000234', '6582636', '6304332', '13516062', '10482488', '6017524', '8272997', '6453535', '8547975', '7560658', '17798617', '2519833', '123483', '613313', '6856588', '6640565']"
114,25302294,0.467483512761081,393.0,2015.0,"['24683871', '15808348', '25059121', '13570632', '25575674', '25909251', '18708687', '7701406', '21538423', '23629807']"
115,24283825,0.4079905920615977,247.0,2014.0,"['25450069', '23574443', '18679085', '19019640', '25579920', '20564056', '21491514', '25759957', '20417556', '25224283', '26208028', '18664936', '18285353', '13007878', '20764303', '22006563', '22464543', '19154327']"
116,14350,0.4676553467216426,144.0,2000.0,"['384597', '752895', '991413', '118327', '122649', '763510', '12083', '5661021', '880330', '18526', '1591', '7728', '435488', '170599', '141834', '987144', '14940', '380896']"
117,352381,0.4049861384619543,184.0,,"['295787', '87441', '1102296', '17033175', '625174', '1538556', '13164434', '13500754', '18626830', '954415', '1342371', '18659174', '7606650', '482227', '16230748', '820166']"
118,12985143,0.6116997157875967,404.0,2012.0,"['11362198', '10560849', '12872080', '11702088', '9277339', '13414964', '10479750', '12180240', '11836562', '10194637', '9542582', '10808965', '11378402', '12690572', '9396162', '11388429', '12432229', '9860837']"
119,7564251,0.43450026810429165,388.0,2010.0,"['9359808', '7207765', '6951425', '10928630', '9359810', '9837154', '8698731', '6900601', '780917', '7786771', '6401209', '3391271', '30650036', '6757426', '11282970', '7545000', '342659', '6296885']"
120,7639087,0.4321836764666589,222.0,2009.0,"['8017033', '9530560', '14762315', '11108482', '13639145', '8888757', '6149452', '10956747', '9316407', '18372675', '7186426', '10878744', '7116458', '11550554', '9596433', '6963534', '7593308']"
121,149864,0.49859319937213736,360.0,2007.0,"['462793', '6771431', '381328', '61654', '2355355', '745957', '564206', '6355486', '233683', '817601', '116351', '1299201', '10997623']"
122,6696927,0.5386217857663231,193.0,2010.0,"['18952', '22200', '123673', '76740', '600349', '142181', '392566', '541024', '28768', '41069', '60146', '12007', '373009', '13651', '473850', '132694', '968902', '968863']"
123,490276,0.5702427072423856,421.0,2007.0,"['84158', '84176', '61823', '156295', '2871256', '540098', '6593451', '4916680']"
124,138452,0.5282264479318335,187.0,2007.0,"['857242', '6236664', '568586', '26426', '244813', '224572']"
125,40372,0.45332366623550135,179.0,2001.0,"['409796', '641141', '1171355', '591745', '1861065', '1531197', '2605284', '1005186', '1183819', '2796071', '939666', '690949', '397370', '1242761', '13536521', '479304']"
126,40376,0.4844033051679139,191.0,1979.0,"['1531148', '1025194', '1414669', '6328857', '1161872', '676237', '1470365', '987974', '263112', '99984', '9427629', '584356', '186182', '74988', '1296012']"
127,40379,0.5676515630294358,0.0,2001.0,"['9427629', '1875499', '1531148', '591785', '252230', '12045299', '409809', '676237', '209506', '546454', '50854', '941224']"
128,40378,0.5258399389019709,0.0,2005.0,"['409796', '1414669', '252230', '676237', '1531148', '1161498', '9427629', '3497718', '6522491', '12045299', '12993580', '263121', '1025194', '6328857', '1586111']"
129,960764,0.45040418637575896,,2003.0,"['170462', '357096', '4632378', '10406821', '7888573', '10219948', '6296154', '5820101', '10893175', '17700906', '621633', '1973126', '1357173', '19911', '18626777']"
130,10051549,0.4361068493847796,384.0,2011.0,"['13547707', '10629328', '6895179', '9765460', '10257495', '9657210', '11804615', '27259222', '24623714', '6416858', '10353459', '18310455', '1792693', '8396758', '16138367']"
131,249867,0.4672914424403906,7.0,2003.0,"['342445', '10596', '32627', '77232', '19580', '36321', '452157', '11557', '10092', '400906']"
132,9464129,0.5710501827625398,522.0,2011.0,"['186427', '6931246', '34492', '359375', '68429', '21328', '61904', '547448', '8348904', '91475', '70585', '13542846', '9674335', '593791', '359193', '5367', '77207']"
133,1918320,0.389159797093647,310.0,2007.0,"['209371', '358865', '82721', '205205', '752997', '1753230', '1439350', '474079', '8515925', '562675', '2118280', '313197', '1113386', '878881', '12933', '122888', '117966']"
134,20499240,0.6522831944317643,377.0,2014.0,"['16107369', '17910066', '18599601', '21806701', '1128964', '18211295', '16148208', '19346407']"
135,23280198,0.4659029501693535,320.0,2015.0,"['23615716', '7015310', '7551628', '7533435', '21526290', '22010889', '17707127', '18387278', '17860567', '25073969', '814152', '12919804', '23847993', '18663797', '23014305', '13348331', '23262675', '7775710']"
136,13634292,0.4462378425735651,4.0,2003.0,"['2934112', '24774', '13538708', '34501', '37190', '47520', '68496', '458343', '14565', '32636', '352701', '271310', '24781', '20452208', '13547152', '455933', '81042', '24271']"
137,538294,0.4855260472722226,295.0,2007.0,"['659855', '1284050', '194738', '763581', '3268846', '23239', '7114817', '30260', '5604862']"
138,6601257,0.48706121835622074,360.0,,"['7073634', '6386262', '643473', '7685237', '4457755', '1211756', '13127094', '7061670', '2946896', '7825903', '6018598', '793220', '28628071', '7826468', '7278120']"
139,20419025,0.4425990100622188,432.0,2014.0,"['17924944', '18716722', '16181625', '16056352', '22909838', '17902141', '10165761', '19099494', '11431896', '17280122', '20517414', '18309803', '20522640', '17876228', '20256261', '22838220', '29483403', '21851568']"
140,6177426,0.4729939702529417,338.0,2009.0,"['303809', '11213380', '5961342', '1017306', '3308840', '7150757', '6257484', '524751', '6177424', '1814149', '6593385', '3257736', '207158', '5830325', '5576130', '2423981', '4928007', '6582640']"
141,6177424,0.5315699251419311,,,"['7790460', '3308839', '6366368', '472052', '6895179', '7641961', '5519768', '2318136', '5282692', '6087903', '5073135', '3257736', '26141162', '6592513']"
142,6177425,0.5524712557356191,,2009.0,"['7790460', '9765460', '472052', '2318136', '26141158', '7641961', '6592513', '6957624', '9765684', '7181792', '3308840', '279524', '6602818', '7880149', '6056519', '3003723', '6087903']"
143,6177429,0.5444878524504091,,,"['18463314', '2431123', '13416697', '25794730', '20640247', '8409252', '3020175', '18295681', '18457827', '3186072', '18371366', '18010315', '5830325', '4935564', '7830973', '5282692', '20982651', '4953254']"
144,950866,0.5581968883314918,370.0,2003.0,"['616469', '609902', '625840', '65567', '6453494', '11162228', '2486980', '535766']"
145,29501909,0.49266801952414163,262.0,2016.0,[]
146,9421274,0.5141972520275193,336.0,2011.0,"['7551580', '6676743', '7430962', '7094418', '7090785', '6570140', '7519652', '9440171', '8970727', '8140709', '3115950', '7737848', '7881742', '7089277', '7763145', '6690198', '7884969']"
147,621697,0.5615435794066996,345.0,2007.0,"['987508', '263731', '9542', '47241', '8058609', '6329337', '1651313', '7283762', '285224']"
148,362982,0.47517067529549484,348.0,2006.0,"['6582635', '4908511', '23947523', '13506379', '866497', '3430165', '13422963', '11277883', '6284063', '8697310', '10711520', '9644564', '22306227', '7923602', '303192', '22432726', '7252756', '27411076']"
149,362981,0.4707843213522921,280.0,2005.0,"['12146993', '13295344', '184874', '6582635', '3430165', '10194623', '13829875', '18042263', '10803880', '9210145', '10144641', '23420502', '10533485', '23615339', '8477800', '21623695', '8599512', '5586134']"
150,438134,0.4553348808061085,336.0,1994.0,"['263758', '17387440', '941467', '535349', '8488164', '27799890', '367336', '23274805', '579527', '57084', '16653', '10273623', '463293', '77207', '13495388', '28225450', '543023']"
151,13565300,0.3960355761345434,228.0,2012.0,"['18930382', '12872349', '736503', '7661503', '32622208', '16048137', '13502935', '21405331', '13626178', '15982996', '15898828', '15770283', '13556624', '13132055', '13632334', '13541767']"
