,book_id,genres
76,4978,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
77,5038,"['fantasy', 'paranormal', 'romance', 'fiction', 'history', 'historical fiction', 'biography']"
78,5091,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
79,5092,"['fantasy', 'paranormal', 'fiction', 'romance', 'mystery', 'thriller', 'crime']"
80,5093,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
81,5094,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
82,5095,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
83,5096,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime', 'romance']"
84,5098,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
85,5338,"['fantasy', 'paranormal', 'poetry', 'fiction', 'children', 'romance', 'young-adult']"
86,5367,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
87,5372,"['fantasy', 'paranormal', 'fiction']"
88,5374,"['fantasy', 'paranormal', 'young-adult', 'children', 'fiction', 'history', 'historical fiction', 'biography']"
89,5399,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime']"
90,5414,"['mystery', 'thriller', 'crime', 'fantasy', 'paranormal', 'fiction']"
91,5415,"['mystery', 'thriller', 'crime', 'fantasy', 'paranormal', 'fiction']"
92,5418,"['mystery', 'thriller', 'crime', 'fantasy', 'paranormal', 'fiction']"
93,5419,"['mystery', 'thriller', 'crime', 'fantasy', 'paranormal', 'fiction']"
94,5500,"['fiction', 'fantasy', 'paranormal', 'history', 'historical fiction', 'biography']"
95,5886,"['fantasy', 'paranormal', 'children', 'fiction', 'history', 'historical fiction', 'biography', 'young-adult']"
96,5898,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
97,5907,"['young-adult', 'fantasy', 'paranormal', 'children', 'fiction']"
98,5912,"['young-adult', 'fantasy', 'paranormal', 'children', 'fiction']"
99,5915,"['young-adult', 'fantasy', 'paranormal', 'children', 'fiction']"
100,6052,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
101,6291,"['fantasy', 'paranormal', 'fiction']"
102,6294,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'romance', 'children', 'mystery', 'thriller', 'crime']"
103,6297,"['non-fiction', 'fantasy', 'paranormal', 'comics', 'graphic', 'children', 'fiction']"
104,6393,"['non-fiction', 'fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography']"
105,6394,"['non-fiction', 'fantasy', 'paranormal']"
106,6401,"['non-fiction', 'fantasy', 'paranormal']"
107,6402,"['non-fiction', 'fantasy', 'paranormal']"
108,6404,"['non-fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography', 'fiction']"
109,6406,"['non-fiction', 'fantasy', 'paranormal']"
110,6625,"['fantasy', 'paranormal', 'fiction', 'romance']"
111,6628,"['fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'fiction', 'comics', 'graphic', 'young-adult']"
112,6970,"['romance', 'fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography']"
113,7009,"['fiction', 'fantasy', 'paranormal', 'romance', 'poetry', 'history', 'historical fiction', 'biography']"
114,7012,"['fiction', 'fantasy', 'paranormal', 'romance', 'poetry', 'history', 'historical fiction', 'biography']"
115,7021,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
116,7022,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
117,7023,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
118,7024,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
119,7026,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
120,7027,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
121,7028,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
122,7029,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
123,7082,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
124,7083,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
125,7113,"['fantasy', 'paranormal', 'young-adult', 'children', 'fiction']"
126,7238,"['mystery', 'thriller', 'crime', 'fantasy', 'paranormal', 'fiction']"
127,7263,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
128,7329,"['fantasy', 'paranormal', 'fiction']"
129,7331,"['fantasy', 'paranormal', 'fiction', 'children', 'non-fiction', 'young-adult']"
130,7332,"['fiction', 'fantasy', 'paranormal', 'history', 'historical fiction', 'biography', 'young-adult']"
131,7337,"['fantasy', 'paranormal', 'fiction', 'poetry', 'non-fiction', 'history', 'historical fiction', 'biography']"
132,7339,"['fantasy', 'paranormal', 'non-fiction', 'history', 'historical fiction', 'biography', 'poetry']"
133,7341,"['non-fiction', 'fantasy', 'paranormal', 'fiction', 'young-adult']"
134,7345,"['fantasy', 'paranormal', 'fiction', 'non-fiction', 'comics', 'graphic', 'history', 'historical fiction', 'biography', 'children', 'young-adult']"
135,7346,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'non-fiction', 'poetry', 'young-adult']"
136,7347,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'non-fiction', 'young-adult']"
137,7348,"['fantasy', 'paranormal', 'fiction', 'non-fiction', 'poetry', 'history', 'historical fiction', 'biography']"
138,7349,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
139,7619,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children']"
140,7733,"['fiction', 'fantasy', 'paranormal', 'children', 'young-adult', 'history', 'historical fiction', 'biography']"
141,7735,"['fiction', 'fantasy', 'paranormal', 'children', 'young-adult', 'history', 'historical fiction', 'biography']"
142,7956,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'young-adult']"
143,7957,"['fiction', 'young-adult', 'fantasy', 'paranormal', 'children']"
144,7962,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'young-adult', 'romance']"
145,7964,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
146,7965,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime', 'romance']"
147,7968,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'young-adult']"
148,7971,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
149,7973,"['fantasy', 'paranormal', 'fiction', 'romance', 'history', 'historical fiction', 'biography', 'young-adult']"
150,7974,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'history', 'historical fiction', 'biography', 'children', 'mystery', 'thriller', 'crime']"
151,7976,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
152,7979,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
153,7980,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
154,7981,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
155,7983,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
156,7987,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children']"
157,7989,"['fantasy', 'paranormal', 'non-fiction', 'children', 'young-adult', 'fiction', 'comics', 'graphic']"
158,7993,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
159,7994,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
160,7996,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children']"
161,7997,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'history', 'historical fiction', 'biography', 'children', 'mystery', 'thriller', 'crime']"
162,7998,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
163,7999,"['fantasy', 'paranormal', 'young-adult', 'children', 'fiction']"
164,8001,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
165,8004,"['fantasy', 'paranormal', 'children', 'young-adult', 'fiction', 'poetry']"
166,8084,"['fantasy', 'paranormal', 'romance', 'young-adult', 'fiction', 'children', 'history', 'historical fiction', 'biography']"
167,8085,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'romance', 'children', 'non-fiction']"
168,8087,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'romance']"
169,8088,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'romance']"
170,8089,"['fantasy', 'paranormal', 'young-adult', 'romance', 'fiction', 'history', 'historical fiction', 'biography', 'children']"
171,8090,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'romance', 'children']"
172,8091,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'romance', 'children']"
173,8092,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'romance', 'children', 'history', 'historical fiction', 'biography']"
174,8093,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'romance', 'mystery', 'thriller', 'crime']"
175,8178,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
176,8706,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
177,8709,"['fiction', 'fantasy', 'paranormal']"
178,8908,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime', 'young-adult']"
179,8948,"['young-adult', 'fantasy', 'paranormal', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
180,8949,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'mystery', 'thriller', 'crime', 'children']"
181,8951,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
182,8952,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
183,8955,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'mystery', 'thriller', 'crime', 'children', 'history', 'historical fiction', 'biography']"
184,8957,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime', 'romance']"
185,8960,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
186,8962,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
187,8963,"['young-adult', 'fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime', 'children']"
188,8965,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
189,8966,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'mystery', 'thriller', 'crime', 'children']"
190,8967,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'mystery', 'thriller', 'crime', 'children']"
191,8968,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'mystery', 'thriller', 'crime', 'children']"
192,8983,"['young-adult', 'fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'romance', 'mystery', 'thriller', 'crime']"
193,8992,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
194,9325,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
195,9326,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime', 'romance']"
196,9329,"['fantasy', 'paranormal', 'non-fiction', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime']"
197,9531,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime']"
198,9534,"['fiction', 'fantasy', 'paranormal', 'young-adult']"
199,9539,"['fantasy', 'paranormal', 'fiction', 'romance']"
200,9542,"['fantasy', 'paranormal', 'fiction', 'romance', 'mystery', 'thriller', 'crime', 'young-adult']"
201,9553,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime']"
202,9594,"['fiction', 'fantasy', 'paranormal', 'history', 'historical fiction', 'biography', 'non-fiction']"
203,9626,"['fantasy', 'paranormal', 'fiction', 'comics', 'graphic', 'children', 'young-adult']"
204,9628,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'poetry']"
205,9630,"['fiction', 'fantasy', 'paranormal']"
206,9634,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
207,9638,"['fiction', 'fantasy', 'paranormal', 'poetry']"
208,9767,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'romance', 'young-adult']"
209,9807,"['fiction', 'fantasy', 'paranormal', 'children', 'non-fiction', 'history', 'historical fiction', 'biography']"
210,9813,"['fiction', 'fantasy', 'paranormal', 'history', 'historical fiction', 'biography']"
211,9875,"['fiction', 'fantasy', 'paranormal']"
212,10084,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
213,10090,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
214,10092,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
215,10336,"['fantasy', 'paranormal', 'children', 'fiction', 'young-adult']"
216,10546,"['fantasy', 'paranormal', 'children', 'mystery', 'thriller', 'crime', 'young-adult', 'fiction', 'history', 'historical fiction', 'biography']"
217,10571,"['history', 'historical fiction', 'biography', 'fantasy', 'paranormal', 'children', 'romance', 'fiction']"
218,10572,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography']"
219,10607,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
220,10611,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime', 'children']"
221,10626,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
222,10690,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography', 'romance']"
223,10750,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'romance']"
224,10897,"['fiction', 'fantasy', 'paranormal', 'romance', 'mystery', 'thriller', 'crime', 'young-adult']"
225,11127,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
226,11129,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
227,11134,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
228,11136,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
229,11280,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
230,11286,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography']"
231,11290,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography']"
232,11298,"['fantasy', 'paranormal', 'fiction']"
233,11306,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime']"
234,11308,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'romance']"
235,11310,"['young-adult', 'fantasy', 'paranormal', 'children', 'fiction', 'mystery', 'thriller', 'crime']"
236,11311,"['fantasy', 'paranormal', 'children', 'young-adult', 'fiction', 'mystery', 'thriller', 'crime']"
237,11312,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography']"
238,11313,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children']"
239,11390,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
240,11551,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime']"
241,11552,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime']"
242,11553,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'young-adult', 'history', 'historical fiction', 'biography', 'children']"
243,11555,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime', 'romance']"
244,11557,"['fiction', 'fantasy', 'paranormal', 'mystery', 'thriller', 'crime']"
245,11590,"['mystery', 'thriller', 'crime', 'fantasy', 'paranormal', 'fiction']"
246,11597,"['mystery', 'thriller', 'crime', 'fantasy', 'paranormal', 'fiction']"
247,11841,"['fantasy', 'paranormal', 'fiction', 'young-adult', 'children']"
248,11843,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'history', 'historical fiction', 'biography']"
249,11901,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography', 'romance', 'mystery', 'thriller', 'crime']"
250,11915,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime']"
251,11916,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime']"
252,11918,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime', 'young-adult']"
253,11919,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime']"
254,11920,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime']"
255,11921,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime']"
256,11922,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime', 'young-adult']"
257,11932,"['fantasy', 'paranormal', 'fiction', 'children', 'romance']"
258,11933,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'history', 'historical fiction', 'biography', 'mystery', 'thriller', 'crime', 'children', 'romance']"
259,11935,"['fantasy', 'paranormal', 'fiction', 'non-fiction', 'poetry', 'romance', 'mystery', 'thriller', 'crime', 'history', 'historical fiction', 'biography', 'children', 'comics', 'graphic']"
260,11938,"['fantasy', 'paranormal', 'fiction', 'romance', 'young-adult', 'mystery', 'thriller', 'crime']"
261,12017,"['fiction', 'fantasy', 'paranormal']"
262,12024,"['young-adult', 'fantasy', 'paranormal', 'fiction', 'romance']"
263,12067,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
264,12070,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
265,12147,"['fiction', 'fantasy', 'paranormal', 'young-adult', 'children']"
266,12148,"['fiction', 'fantasy', 'paranormal', 'young-adult', 'children']"
267,12150,"['fiction', 'fantasy', 'paranormal', 'young-adult', 'children']"
268,12189,"['fantasy', 'paranormal', 'romance', 'mystery', 'thriller', 'crime', 'fiction']"
269,12442,"['fiction', 'fantasy', 'paranormal', 'young-adult', 'children']"
270,12444,"['fiction', 'fantasy', 'paranormal', 'history', 'historical fiction', 'biography', 'romance']"
271,12500,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'thriller', 'crime']"
272,12759,"['fantasy', 'paranormal', 'children', 'fiction', 'young-adult']"
273,12931,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'mystery', 'thriller', 'crime']"
274,12967,"['fantasy', 'paranormal', 'fiction', 'romance', 'history', 'historical fiction', 'biography']"
275,13023,"['fantasy', 'paranormal', 'fiction', 'children', 'young-adult']"
276,13139,"['young-adult', 'fantasy', 'paranormal', 'fiction', 'romance', 'mystery', 'thriller', 'crime', 'children']"
277,13152,"['young-adult', 'fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime', 'romance', 'children']"
278,13196,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'history', 'historical fiction', 'biography', 'romance', 'children', 'poetry']"
279,13345,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction', 'children']"
280,13349,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children', 'romance']"
281,13350,"['fantasy', 'paranormal', 'young-adult', 'fiction', 'children']"
282,13444,"['fantasy', 'paranormal', 'fiction', 'mystery', 'thriller', 'crime']"
283,13496,"['fantasy', 'paranormal', 'history', 'historical fiction', 'biography', 'romance', 'fiction', 'mystery', 'thriller', 'crime']"
284,13497,"['fantasy', 'paranormal', 'fiction', 'history', 'historical fiction', 'biography']"
285,13498,"['fiction', 'fantasy', 'paranormal', 'romance']"
286,13499,"['fiction', 'fantasy', 'paranormal', 'history', 'historical fiction', 'biography']"
287,13501,"['fantasy', 'paranormal', 'comics', 'graphic', 'fiction', 'history', 'historical fiction', 'biography', 'young-adult']"
288,13506,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
289,13514,"['fiction', 'fantasy', 'paranormal', 'children', 'non-fiction']"
290,13521,"['fantasy', 'paranormal', 'fiction', 'young-adult']"
291,13522,"['fantasy', 'paranormal', 'fiction']"
292,13568,"['fantasy', 'paranormal', 'comics', 'graphic', 'romance', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
293,13569,"['fantasy', 'paranormal', 'comics', 'graphic', 'romance', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
294,13570,"['fantasy', 'paranormal', 'comics', 'graphic', 'romance', 'young-adult', 'fiction', 'mystery', 'thriller', 'crime']"
295,13571,"['fantasy', 'paranormal', 'comics', 'graphic', 'romance', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
296,13573,"['fantasy', 'paranormal', 'comics', 'graphic', 'romance', 'fiction', 'young-adult', 'mystery', 'thriller', 'crime']"
