,author_id,book_id
39,868,"[68380, 260025, 29169, 28471, 28478, 1082252, 260220, 259836, 2029736, 17742026, 259897, 362787, 2399403, 1082246, 28507, 259841, 603268, 534415, 29187, 1307, 28483, 28482, 28481, 28485, 28484, 68378, 28514, 28271, 28539, 28533, 259858, 668860, 92909, 534420, 23454, 29118, 29119, 7724995, 93768, 259866]"
40,869,"[5372, 68380, 260025, 29160, 29169, 28471, 28477, 28478, 10314147, 1082252, 260220, 259836, 28474, 1886019, 2029736, 16059418, 259897, 362787, 2399403, 1082246, 28507, 603268, 534415, 29187, 1307, 28483, 28482, 28481, 28485, 28484, 68378, 28514, 28271, 28539, 28537, 28533, 259858, 668860, 92909, 534420, 23454, 29118, 29119, 93768, 28524]"
41,870,"[362888, 2401681, 1492132, 317484, 362877, 362875, 6261200, 463078, 10376272, 6395698, 4916680]"
42,903,"[1375, 4823586]"
43,925,"[1160083, 2703450, 21353, 6471230, 6471231, 305088, 7822778]"
44,947,"[14350, 108166, 1622, 7737848, 18580984, 7012, 33155, 6746528, 7009, 4569906]"
45,1005,[1375]
46,1223,"[20929, 13832, 463078, 14002, 937727]"
47,1240,[120240]
48,1244,"[679364, 7505560, 102565, 1250770, 536653, 162898]"
49,1265,"[5899779, 6425725, 6499670, 7090785, 6508774, 7089277, 25852920]"
50,1272,[18113422]
51,1315,[7094418]
52,1332,"[7103829, 744322, 744320, 744321, 2903049, 6449920, 10564967]"
53,1432,"[23848124, 7945295]"
54,1435,[762783]
55,1438,[120240]
56,1441,"[12870151, 2234033, 6760380, 125956, 125955, 10791807, 456028, 2316940, 6052140, 4789801, 5080018, 2234034, 1620912, 1620913, 12959176]"
57,1448,"[10393851, 424609, 13129274, 739891, 28114552, 7945295, 32073069]"
58,1582,"[23596, 1362112, 73574]"
59,1583,[2330]
60,1606,[651440]
61,1612,[7637398]
62,1624,[6254610]
63,1627,"[409594, 363711, 23306321, 18635622, 21063]"
64,1630,"[120566, 2969455, 761381, 84405, 54607, 12107990, 628445, 9630, 876208, 76783, 74586, 1930326, 6313798, 24830, 13259261, 91885, 91884, 6661321, 369540, 10452604, 22530, 9628, 9626, 248596, 18171953, 13329252, 639846, 760920, 10281024, 424975, 3339422, 11390, 11212021, 1091582, 1851687, 1059682, 120552, 23743745, 9638, 9634, 2969684, 57977, 776283, 771204, 93251, 50035, 117888, 240420, 394745]"
65,1631,[34264]
66,1654,"[149864, 537050, 48002, 12067, 34542, 34541, 34540, 10661424, 34495, 34492, 64305, 1001564, 2429032, 567657, 567656, 567653, 18908825, 6267775, 7962617, 618221, 325379, 20493947, 20555440, 233674, 233679, 34484, 20494169, 2855034, 1191652, 884288, 386375, 386374, 386373, 386371, 149847, 64222, 64221, 64225, 20493888, 8478133, 20906536, 7853705, 399415, 34510, 34511, 34515, 34517, 34519, 596878, 6058533, 1974134, 16054816, 229318, 6257523, 533625, 7557548, 833428, 833429, 833423, 833420, 833426, 833427, 833424, 833425, 23590526, 13425505, 989036, 989030, 833468, 149865, 116295, 1191527, 797189, 386372, 181010, 78878, 78876, 601238, 601239, 61651, 61653, 386366, 16248074, 13515493, 116296, 491075, 20555446, 15818476, 15818475, 13147230, 20493713, 21887138, 833493, 64217, 19540829, 62530, 7881001, 29394403, 400356, 400354, 2442, 61668, 12300570, 763504, 34529, 34528, 34522, 34524, 34527, 7739862, 23347067, 474059, 618207, 833438, 833430, 833436, 149839, 6250169, 2830421, 34507, 6083211, 6083210, 597040, 567670, 23346759, 596884, 288680, 938424, 938425, 200711, 386282, 13536273, 533613, 64468, 513534, 513533, 618145, 846092, 64385, 18248435, 18090153, 797191, 828352, 61642, 13620781, 338723, 23346526, 16113738, 27823743, 13418329, 47989, 17836100, 64144, 8785374, 22522818, 3202026, 833422, 15715530, 400345, 18460044, 12976678, 2424593, 1938308, 177978, 27245604, 34539, 34532, 34534, 597033, 3116026, 9419372, 77232, 13003102, 596930, 395949, 2728900, 802929, 12070, 325365, 17167572, 1039264, 25324129, 596897, 596896, 833444, 833445, 833447, 759837, 63720, 20493914, 11275323, 233664, 233669, 34494, 34497, 34496, 34493, 34499, 34498, 181036, 6341533, 515619, 13536349, 7187728, 7576115, 533609, 47994, 47990, 47998, 16113693, 15818566, 13536272, 13536811, 386368, 16127190, 22886868, 22570746, 833499, 833496, 64216, 64218, 64219, 149863, 13153953, 15796725, 12924371, 64333, 960658, 960659, 34506, 34504, 34503, 34502, 34501, 34509, 34508, 423194, 833419, 833418]"
67,1656,"[23490954, 22926502, 13417066, 10790180, 8140709, 25278490]"
68,1724,[12730052]
69,1749,[2368381]
70,1831,"[755011, 41575, 219159, 6262281, 118062, 375815, 7733, 7735, 1095560, 3079691]"
71,1858,"[41122, 29570143]"
72,1949,[10788968]
73,1954,[12759]
74,1967,"[13589141, 7118679, 17131858, 7945006, 9510104, 7269507, 141454, 156492, 9637907, 176408, 176406, 175312, 2240429, 338139, 338131, 338132, 489718, 28941103, 6307037, 89628, 176405, 10773311, 140098, 317121, 338122, 338121, 17859577, 14002, 2348596, 7508223, 60738, 762156, 740042, 3103806, 13515074, 5552232, 338118, 338117, 16074215, 20893315, 338119]"
75,1977,"[1095395, 544331, 271248, 4792273, 13731, 13730, 2883, 6279561, 6419543, 271258, 13735, 13733, 10225194, 271263, 271261, 271262, 271264, 271265, 271266, 18143812, 13727, 13728, 2323296, 2323295, 13729, 2946056, 2882, 2881, 2880]"
76,2041,[322920]
77,2046,"[219182, 937105]"
78,2130,"[17133624, 18967213, 24000720]"
79,2226,"[6528962, 3275]"
80,2238,"[3304, 149169, 16526, 16529]"
81,2331,"[17081065, 15041918, 17900212, 19428095, 13624688, 15956687, 17676230]"
82,2353,[3479]
83,2354,[3479]
84,2355,[3479]
85,2356,[3479]
86,2357,"[2794955, 5577077, 10428848, 21857321, 225669, 33574150, 7997987, 263179, 7721198, 13455417, 29875893, 18480587, 11437971, 1293450, 6545740, 225668, 17331424, 4311773, 3479]"
87,2358,"[17131858, 20893389, 16244759, 2871250, 7172680, 25111052, 3479, 18114043]"
88,2383,[20168816]
89,2384,"[12275680, 16054801, 23012480, 12990947, 9719614, 8255965, 8205669]"
90,2387,"[614866, 3120541, 29624, 29623, 15765663, 6908832, 20821265, 6275436, 331005, 6305025, 2974804, 13483502, 10600187, 29619, 9540596, 186870, 15810877, 28110115, 8331368, 29617, 8702030, 7268841, 337943, 1723927, 23659059, 186793, 10273328, 689486, 186859, 10889249, 8998906, 1107543, 1107545]"
91,2401,"[33482, 817829]"
92,2413,"[23596, 541923, 682742, 577555, 174948, 1412852, 670810, 179579, 179576, 444381, 444380, 444382, 859561, 8735907, 349560, 269713, 613687, 268187]"
93,2448,[847048]
94,2454,"[16248247, 16248246, 6313798]"
95,2493,"[2424001, 12931]"
96,2495,[3638]
97,2514,[72625]
98,2526,"[15927006, 25985241, 346282, 304306, 15783083, 7171748, 25489888, 11545694, 13129274, 6382952, 7728889, 634771, 15780558, 3682, 127459, 12189496, 13642237, 13641916, 51428, 5168977, 219760, 16060716, 18685210, 15958916, 862136, 862137, 10635363, 488718, 17899351, 3042227, 26521836, 24716836, 601719]"
99,2546,"[13414674, 17262208, 7637398, 10477364, 9912994]"
100,2562,[15703795]
101,2594,"[308449, 6478502, 8431461, 2721211, 114544, 156299, 308450, 308453, 5961342, 308452]"
102,2607,[8414756]
103,2612,"[6926983, 3852]"
104,2613,"[694074, 99715, 3852]"
105,2614,"[519663, 2888317, 592806, 6294228, 1707240, 51286, 319639, 13131080, 168323, 6177493, 1999627, 1708127, 17886050, 11540546, 582812, 15808710, 767547, 7831146, 2981807, 1678741, 8262172, 9514590, 5552542, 3671415, 869068, 8246566, 432058, 18395849, 10552287, 348660, 519655, 281831, 3852, 22571670]"
106,2615,"[626721, 3852]"
107,2678,"[7933156, 3609756]"
108,2687,"[9732198, 11290, 6631944, 11286, 3689171, 77566, 16078432, 11280, 3973, 3979, 3302568]"
109,2695,[689225]
110,2715,"[2246092, 424609, 6313798, 16705, 16702, 13590724, 7505560, 12344319, 6505011]"
111,2719,[17327]
112,2745,"[20168816, 3689171, 909351]"
113,2828,"[4117, 8600966, 6318119]"
114,2902,"[6261122, 9628653]"
115,2918,[57913]
116,2927,"[17347379, 1294624, 121121, 17347383, 17347382, 17347380, 17347381, 1, 99298, 72192, 50968, 7, 77522, 77523, 1138943, 49852, 6318119, 3, 136251, 15881, 17347384, 17372039, 49130, 71643, 2, 6, 8]"
117,2988,[6528962]
118,2991,[33489]
119,2998,"[770794, 108569, 108566, 11797285, 26241281, 108571, 89626]"
120,3087,[508517]
121,3095,"[18453183, 7824013]"
122,3190,[6254610]
123,3203,"[28199, 8597727, 857639, 7531409]"
124,3231,"[77307, 1548325, 818540, 34941, 599090, 160859]"
125,3242,"[23596, 116591, 179639, 715058, 60177, 60179, 179668, 430480, 179565, 60166, 769060, 316113, 135284, 533690, 765301, 765300, 560635, 560637, 762677, 548260, 16102236, 765296, 638559, 358488, 135288, 833135]"
126,3299,"[871431, 849126, 10536993, 471966, 7785917, 763471, 24292310, 9875, 4835, 1000014]"
127,3305,"[443765, 541931]"
128,3354,"[11298, 23267242, 10364849, 15822564, 12344319, 46134, 23128304, 818111, 20629795]"
129,3371,[13329252]
130,3389,"[13579397, 249867, 6163754, 1589604, 764484, 17288638, 5414, 5415, 5418, 5419, 18127, 18128, 1454116, 1454118, 13083038, 1081372, 534676, 10611, 655707, 97126, 34430839, 656420, 94764, 94767, 12106746, 25111061, 13574640, 493808, 6740409, 30983474, 30983471, 30983478, 342445, 29430675, 29430671, 29430670, 1008042, 32071039, 866502, 5098, 5091, 5092, 5093, 5094, 5095, 5096, 9917996, 830497, 17944, 6313798, 18528453, 13083063, 27426624, 1011193, 542820, 13382321, 16044447, 644171, 6661321, 577177, 329108, 34084, 22550, 4908464, 10607, 822912, 35479812, 1360681, 11743019, 9813753, 534678, 5399, 43615, 7505560, 12566951, 13444, 995103, 12344319, 682736, 6599011, 12203201, 13497742, 17323860, 848162, 6356190, 228191, 12697885, 15015023, 995127, 13573634, 22549, 249992, 539127, 458450, 18004, 18003, 815435, 815434, 815436, 7455727, 6340422, 11597, 11590, 59219, 437133, 13155183, 34623666, 34466922, 13492880, 29430737, 25013418, 30622162, 995116, 13497287, 942573, 36320, 644283, 12982158, 12754892, 77232, 1589581, 18596555, 493809, 10626, 18114, 7850063, 18072, 408855, 408854, 408853, 25228309, 11232016, 12274389, 27257485, 29430673, 228202, 149267, 771204, 452318, 23512999, 367638, 32198259, 924765, 924762, 3365119, 995123, 4978, 27776403, 3302568, 12090838, 12391741]"
131,3406,"[23156342, 7912998]"
132,3441,"[19477973, 914886, 253046, 4361989, 7976212, 272825, 121127, 761732, 604803, 253058, 618241, 3318765, 29939366, 17317908, 5038, 4016992, 2909731, 43893, 43892, 43890, 8598554, 6311614, 77232, 410910, 23848607, 9498485, 12208526, 234184, 43884, 43886, 43887, 43888, 43889]"
133,3469,"[7508223, 452157]"
134,3470,[342445]
135,3472,"[13329252, 341272]"
136,3500,[159069]
137,3502,"[1366744, 6636138, 34037113, 20971472, 527923, 13329252, 842471, 1281393, 34466968, 816297, 333118, 333115, 12463444, 1148457, 18516113, 195672, 22892, 410615, 22896, 899200]"
138,3504,"[13329252, 2460633]"
139,3524,"[13579397, 15806786, 770794, 6313798, 7637398, 36314, 22238188, 739891, 6505011, 7455727, 371638, 7945295, 771204, 81038, 1994990]"
140,3565,"[45685, 5313289, 779002, 514150, 163716, 2298136, 22181606]"
141,3583,"[28729, 120240]"
142,3602,[53086]
143,3617,"[6375862, 17910665, 21531492, 18885585, 15793066, 77563, 13758481, 6714177, 7841656, 10559622, 17702284]"
144,3618,"[827968, 45492, 18122, 839967, 832116, 937706, 838865, 827970, 2225238, 34128219, 567665, 15849807, 283870, 23977361, 24774, 11785598, 26023794, 119322, 312399, 305307, 1022883, 394363, 953271, 1067325, 2098158, 394365, 9307699, 45480, 114280, 13554713, 16126208, 123070, 828388, 18115, 24937342, 77472, 832143, 1189906, 1006821, 12699042, 70947, 70949, 312407, 24777]"
145,3619,"[61998, 359581, 304687, 620486, 147908, 7416873, 1124895, 62005, 62004, 216369, 397400, 239924, 737453, 756980, 8493781, 316876, 1025149, 2216760, 939645, 536790, 62016, 62017, 62012, 463078, 239922, 239917, 13824, 61986, 28807, 116982, 8168507, 1117637, 1332162, 92121, 5367, 13821, 13827, 61994, 15817226, 7082, 427252]"
146,3624,"[3249541, 972188, 1400424]"
147,3625,[592158]
148,3626,"[429142, 675314]"
149,3636,"[13518388, 24662406]"
150,3651,[362636]
151,3681,"[8480676, 7135858, 9750937, 7839201]"
152,3780,"[12063158, 11946245, 10854410, 3933078, 1829709, 33676, 6987557, 6987550, 6387565, 8014225, 952769, 552886, 71629, 6431790, 8887031, 7048880, 1102162, 7885091, 6438404, 13380664, 10909677, 828627, 7125335, 10778413, 10778410, 6950567, 22208238, 13152, 18070688, 955157, 7294912, 13139, 2730022, 895072, 3173559, 9818474, 552889, 7821931, 7821932, 14780701, 6885957, 8767117, 3393124, 7821929, 10264676, 7646805, 5601088, 9960624, 7201913, 11603726, 10891197]"
153,3843,[2190742]
154,3873,[47323]
155,3912,"[21412133, 9727730, 10839173, 602699, 24998915, 11060998]"
156,3947,[16568]
157,3948,[320377]
158,3953,[654972]
159,3961,"[9466840, 13069874, 20665577, 16071377, 1890387]"
160,3995,"[116475, 116473, 116471, 116470, 3100159, 2272641, 7573098, 811335, 119489, 212682, 13575605, 212671, 212672, 44369, 11962191, 573918, 119491, 15757202, 212679, 5155532, 155238, 239248, 25529318, 1105380, 119490, 119492, 119493, 119494, 119495, 245462]"
161,4005,"[11711794, 673025]"
162,4008,[5886]
163,4035,[4863441]
164,4045,[408853]
165,4099,"[141757, 540489, 248584]"
166,4106,"[51106, 51104, 51105, 763538, 44328, 6052, 1382868]"
167,4145,"[658242, 469208, 7146831]"
168,4174,[3302568]
169,4201,"[21525757, 13052105, 13325005, 15737851, 8585178, 7850694, 10575508]"
170,4260,"[5985499, 532266, 2173611, 34281, 34282, 34283, 34284, 34286, 34287, 34288, 114521, 114520, 6375862, 3267488, 7416873, 6294, 6764886, 1018241, 1018243, 1017777, 16248247, 16248246, 47536, 11777864, 13759, 367162, 853871, 47581, 47587, 7637398, 2141877, 11736986, 11736985, 1018215, 444313, 836267, 7882025, 47510, 47514, 114510, 6609580, 402023, 607704, 44328, 367158, 34427, 2294528, 444316, 444314, 444315, 18651982, 244572, 642449, 47528, 47525, 47521, 47520, 3267466, 18107099, 47567, 860520, 828879, 2294535, 18932, 462169, 9951114, 11698983, 519933, 1416784, 47508, 6497526, 34290, 47570, 47571, 47572, 475151]"
171,4263,"[6297, 17571527, 34427]"
172,4280,"[28245487, 22522805, 25065179, 22536182, 25852735, 28960122, 23216043, 22706570]"
173,4333,"[8724659, 1400307, 6393, 6394, 54487, 6402, 6401, 6406, 6404]"
174,4335,"[1400307, 6393, 6394, 6401]"
175,4338,"[13579397, 7416873, 3689171, 7972041, 491075, 8997810, 20695297, 219107, 77563, 252838, 1408114, 252969, 6714177, 10575798, 77232, 18596555, 449261, 3302568, 7022843]"
176,4345,[11212021]
177,4427,"[20736630, 30073153, 55453]"
178,4428,"[20759393, 13450339, 20759641, 17164644, 13547873, 12908993, 17334529, 30333115, 25494344, 31453592, 8534799, 7872180, 18746546, 16145662, 9779851, 9674479, 7933795, 12988016, 6294553, 1611656, 6625, 435045, 7098304, 2003625, 18748007, 16066445, 10790516, 14383, 14384, 13546450, 29430690, 8158993, 8158992, 3585344, 6337006, 18775652, 18404870]"
179,4429,"[960764, 1018925, 1054581, 6625, 1229977, 582663]"
180,4430,"[490276, 5739760, 6058042, 84136, 84139, 38522, 6599344, 6910709, 17332310, 4352708, 84144, 84145, 84146, 84147, 84142, 84149, 13508220, 18159196, 84183, 22046891, 9065265, 3122173, 6372263, 61823, 84150, 3992020, 9645248, 23492109, 17910665, 685455, 18885585, 2871256, 10319157, 16172171, 10857421, 470916, 15842216, 22559712, 9676673, 21944038, 84135, 84134, 9447878, 13508217, 25868031, 6875162, 626688, 626681, 626686, 7200351, 1746470, 84176, 7046493, 2992069, 2992065, 2992061, 8677937, 25111052, 6625, 84133, 84132, 2227031, 7775742, 17206636, 1339851, 13380480, 6944032, 10649555, 27158834, 18090081, 22559726, 84140, 304026, 18404246, 32672519, 2299110, 7889416, 3246224, 32768515, 22719550, 5585300, 490403, 4916680, 476692, 15767586, 869924, 21858682, 6434232, 12886599, 6696602, 13079147, 84158, 84151, 84156, 84154, 72625, 23848002, 7869757, 20868595, 6567284, 12077553, 6353009, 12019355, 9721638, 3262139, 18216813, 17702284]"
181,4432,"[8131227, 818360, 148809, 16043857, 13316328, 27005, 27002, 27003, 27000, 27001, 560721, 17165026, 2291458, 13001274, 963683, 535174, 20256556, 676817, 107375, 107378, 2113260, 8813018, 828364, 6628, 77022, 838150, 7739723, 20588905, 2246937, 828395, 11464424, 11297320, 13589159, 13244718, 7031306, 107379, 8513950, 26999, 954208, 17165902, 8725325, 579553, 559747, 2113261, 828409, 107390, 77021, 77020, 11821546]"
182,4489,"[497118, 682742, 774449, 444382]"
183,4497,"[47580, 1169354, 7798872, 23854, 23853, 6535079]"
184,4522,"[1122026, 48420, 2575034, 20893389, 536520, 7966168, 373915, 12344422, 2696305, 13538703, 6721385, 10857421, 4633273, 48435, 48430, 48433, 7234748, 10869776, 1851937, 7441970, 140098, 25111052, 293389, 389519, 23471830, 293476, 23848098, 17910096, 821126, 18090081, 3567035, 13167096, 1598068, 9939156, 26241281, 48580, 2385397, 4443319, 837910, 16058665, 7102544]"
185,4605,"[11256624, 9415962, 12814556, 7823524]"
186,4636,"[7923183, 10864459, 3109566, 6195236]"
187,4708,"[303251, 519663, 1561766, 398129, 313268, 5547594, 6970, 762342, 22930, 519655]"
188,4735,"[7882806, 15804098, 17166341, 7021, 9464737, 7023, 7022, 7027, 7026, 7024, 7029, 7028, 12794678, 232647, 11407130, 35807, 6838961, 6382661, 12246388, 8782399, 17981406, 35808, 35806, 3301645, 1553885, 8728427]"
189,4738,[93383]
190,4743,"[16600, 16597, 16599]"
191,4747,[7113]
192,4763,"[6034660, 3077004, 6929490, 6053172, 2102600, 17156415, 88071, 6470498]"
193,4764,"[6696927, 226486, 10848789, 216368, 216369, 590036, 6661321, 80238, 34403549, 315939, 612963, 14185, 12346742, 516036, 65018, 894352, 13051265, 13793239, 7083, 7082, 581125]"
194,4766,"[94729, 462448, 462451, 176892, 915341, 462379, 491075, 222366, 289150, 662286, 176867, 13057774, 462389]"
195,4785,[506128]
196,4794,[1707287]
197,4821,[252205]
198,4845,"[6163754, 17910044, 5739760, 760573, 21337, 18184424, 2871256, 10857421, 6458788, 99218, 7840832, 13542294, 28941103, 10869776, 13771833, 6014190, 7302400, 7864452, 18090081, 15817010, 508499, 20607958, 849113, 376663, 13592828, 9302745, 20252, 11754793, 24612470, 7238]"
199,4861,"[7263, 6328409, 2933286, 21277, 1061262]"
200,4938,"[7332, 797113]"
201,4941,"[7952502, 13730598, 9687450]"
202,4942,[7341]
203,4945,"[24694233, 7345]"
204,4947,"[1476260, 443765, 14691, 36316, 3218173, 541931]"
205,5095,[7102544]
206,5098,[6809339]
207,5116,"[497118, 16468, 714603, 10623784, 378, 120526]"
208,5122,"[21816324, 22565395, 18635092]"
209,5132,[6254610]
210,5148,[43780]
211,5152,[6313798]
212,5194,[147646]
213,5223,[12344319]
214,5238,"[12431868, 8806781]"
215,5285,"[424609, 17707758, 6721385, 7945295, 7850063]"
216,5286,[79088]
217,5329,"[1205572, 7980, 7983, 7987, 7989, 1046363, 201345, 2856130, 281921, 6177411, 450225, 7993, 7997, 7996, 7994, 7999, 7998, 58092, 140138, 99085, 7981, 8702912, 8004, 8001, 423098, 130352, 201354, 281954, 7979, 7974, 7976, 281913, 281912, 201341, 201342]"
218,5339,"[7642463, 1001563, 2828595, 3080279, 99441, 222656, 222659, 131936, 8220527, 81039, 802594, 222669, 17465456, 41431, 222660, 8093, 8091, 6352686, 77368, 77366, 77367, 41423, 149338, 7507951, 222672, 763481, 8084, 8085, 8087, 8088, 8089, 1106545, 2868646, 10103367, 284695, 407813, 8092, 8090, 1124884, 41424]"
219,5345,"[776910, 731821, 289590, 6352686, 8085]"
220,5351,[2042956]
221,5369,"[1267905, 6600527, 18371691, 3137561, 26575, 279562, 25295, 279545, 30978, 10818702, 28539, 100427, 8178, 279588, 279583, 26025681, 1301154]"
222,5376,"[40885, 332032, 951749, 68582, 40893, 2414039, 3689171, 6386834, 872816, 40866, 40869, 468144]"
223,5438,[7099460]
224,5489,[6027716]
225,5542,"[1781673, 6871031, 328787]"
226,5571,"[18160216, 23012627]"
227,5602,"[1691307, 991909, 13484252, 13493042, 539911]"
228,5621,[1801939]
229,5622,[120240]
230,5657,"[3607590, 563315]"
231,5735,[39058]
232,5773,[36020]
233,5774,[30256272]
234,5791,"[13133307, 13533691, 13533709, 10077103, 117991, 6721385, 13533683, 86666, 10366637, 13135342, 1993860, 13412078, 17993060, 8908, 1819013, 8488204]"
235,5815,[13513419]
236,5816,"[738754, 7128767, 588704, 861541, 1712569, 1066078, 8968, 8963, 8962, 8960, 8967, 8965, 1065971, 8957, 1172383, 20413430, 10798722, 164726, 164722, 164720, 164721, 8952, 7045752, 864835, 9640837, 864798, 8951, 172258, 861540, 6336078, 8955, 861539, 172257, 53168, 2164409, 6747003, 7823800, 6556261, 1199972, 8949, 8948, 172262, 9456611, 156172, 20413494, 20413502, 10890702, 6699311, 8966, 5739076, 5739075, 12924379, 6147366, 1066081, 1019873, 6856011, 2169313, 588670, 8992, 1331644, 2488435, 164719, 164718, 3029879, 3040004]"
237,5829,"[288756, 288759, 5585180]"
238,5833,"[346282, 6256729, 910676, 8983, 9191899, 139418, 30324]"
239,5845,[413492]
240,5918,[10690]
241,5951,"[92143, 6433834]"
242,5989,"[18490551, 6163754, 104917, 126437, 6375862, 15793149, 7416873, 271060, 447937, 10393851, 201054, 122096, 122097, 13589131, 21816737, 17864396, 397400, 22701387, 249855, 7304345, 13721357, 122104, 16101137, 270641, 6124224, 491075, 34218720, 100489, 4738393, 463033, 13262782, 10471419, 739891, 7061706, 13414149, 2865290, 9191899, 11426110, 371638, 228391, 10877155, 81148, 18596555, 363416, 13057774, 122126, 13227699, 141024, 499269, 1448631, 282201, 135433, 16108066, 81038]"
243,6108,"[12160866, 9329]"
244,6169,[6528962]
245,6206,"[16132671, 13221028, 227779, 227778, 9297525, 6933901, 444462, 2854962, 6554666, 862356, 21318, 106129, 47881, 47876, 47878, 47870, 106131, 2049298]"
246,6209,[873746]
247,6223,"[699198, 641637, 594452]"
248,6234,[12939838]
