average_rating,author_id,text_reviews_count,name,ratings_count
3.78,1217665,4034,Hannah Moskowitz,19809
3.97,1330292,108829,Maggie Stiefvater,1144302
4.12,17059,19242,Lynsay Sands,445073
4.0,13388,19260,Shirley Jackson,244025
3.88,21701,3508,Mari Mancusi,44780
4.13,26359,463,Leonora Carrington,4241
3.82,133890,1623,Janet Tashjian,12110
3.92,3211011,913,Jake Tashjian,6589
4.41,2901559,1712,Jun Mochizuki,75063
4.33,1411091,9956,Tomo Kimura,581968
4.12,10182,10151,Mike Mignola,248885
4.15,17303138,2963,Dave   Johnson,66233
4.23,4430,57209,Sherrilyn Kenyon,1272781
3.82,473481,1488,Holter Graham,6082
3.47,36120,1989,Heidi Julavits,12167
4.16,6252,40973,Robert Jordan,1809448
4.02,38951,17318,John Connolly,179327
3.73,24758,21842,Margaret Jull Costa,385440
3.87,1731936,993,Tara West,6531
3.88,9226,18555,William Gibson,480152
3.79,91382,1206,M.L. Rhodes,15709
4.19,65335,9777,Michael Buckley,183916
3.38,19879,4610,Stephen Crane,126921
4.08,5831854,1272,J.L. Weil,20449
3.96,1161372,4672,John Joseph Adams,59280
3.82,20295,14128,Stephen Baxter,187278
3.79,377417,956,Vandana Singh,5856
3.8,908868,351,Paul Melko,2675
3.77,24902,15088,Kelly Link,109166
3.84,25376,4412,Ian McDonald,35085
3.9,2917033,135,Simon McCaffery,1209
3.75,2951127,1017,E. Catherine Tobler,4522
4.0,51204,10944,Alastair Reynolds,191847
4.03,874602,34740,Ursula K. Le Guin,700499
3.84,2283303,958,David Barr Kirtley,14822
3.78,5373338,146,Mercurio D. Rivera,947
3.83,8988,18806,Carrie Vaughn,243675
3.86,121364,2970,Tim Pratt,28981
3.81,57814,2746,Robert Reed,23440
3.96,338705,17040,Catherynne M. Valente,104240
3.85,3001246,2688,Yoon Ha Lee,15196
4.07,589,93559,Orson Scott Card,2189973
3.81,4632660,380,Christie Yant,2521
4.03,2860219,27137,Seanan McGuire,238626
3.87,4338,9606,Robert Silverberg,158450
4.01,3036291,620,Ross E. Lockhart,6055
3.67,142270,33512,Lev Grossman,313037
3.82,14454,6028,Michael Swanwick,62295
3.74,22645,3335,Gregory Benford,58797
3.86,49624,158,William Alexander,944
3.78,27841,3847,Pat Cadigan,40334
3.69,3524,27607,Joyce Carol Oates,309732
3.68,4396277,386,John R. Fultz,2494
4.08,6875729,3605,Helen Harper,68728
3.73,74416,379,Mike Allen,2390
3.99,24183,1520,Morgan Llywelyn,26761
4.03,27100,19392,Michael Scott,404916
4.13,6765,63422,Virginia Woolf,2725563
4.24,4476934,122465,Jennifer L. Armentrout,1388218
4.02,4893411,545,Penelope King,6146
4.25,5124235,9249,Lexi Blake,129624
4.19,4182577,1211,Tracey Jane Jackson,7577
3.97,3780,222666,James Patterson,4717668
3.94,4874418,1221,Pierdomenico Baccalario,17566
3.81,285730,494,Gordon Van Gelder,2283
3.82,257412,2317,Matthew Hughes,17776
3.91,52752,633,Rachel Pollack,5924
3.76,452559,432,Albert E. Cowdrey,3118
3.77,19305,6155,Jeffrey Ford,53896
4.03,2917920,14235,Ken Liu,94398
3.82,97136,4366,Duane Swierczynski,48719
3.87,26738,3585,Cheyenne McCray,58291
4.15,8194109,801,John McBrewster,16731
4.14,2940867,835,Frederic P.  Miller,17650
4.15,2940868,800,Agnes F. Vandome,16738
4.09,3130410,4760,Shaun David Hutchinson,23209
3.96,2988,8192,Jim DeFelice,102679
3.42,7799,17314,Nathaniel Hawthorne,664311
3.77,1014253,1389,Cat Rambo,6564
4.18,6888955,235,Regina Morris,521
3.9,75822,1254,Melissa Scott,11657
3.9,434927,156,Lisa A. Barnett,1322
3.9,1022975,888,Andi Watson,15456
4.02,28569,13868,Jennifer Ashley,192228
3.9,585,79580,John Steinbeck,2959471
4.07,105805,1159,Colleen Helme,9851
3.87,494654,3638,Kate Reading,14918
4.12,8435196,2502,Michael Kramer,14062
4.07,3016762,985,Trina M. Lee,17889
3.76,5831672,550,Natalie C. Parker,3076
3.99,4074051,15863,Rae Carson,154438
3.77,546427,3982,Alaya Dawn Johnson,23284
3.83,7418796,5973,E.K. Johnston,28179
3.77,3111338,3301,Tessa Gratton,22392
4.05,8347,29703,Garth Nix,637886
4.09,4039811,250205,Veronica Roth,4347142
4.32,7770873,21627,Sabaa Tahir,140815
3.7,3023658,6150,Brenna Yovanoff,40694
4.12,4600197,24960,Renee Ahdieh,132337
3.67,5833089,616,Justina Ireland,2689
3.86,48913,7625,Faye Kellerman,136670
3.88,4448495,477,Benjamin Kane Ethridge,1826
3.53,169377,26756,Seth Grahame-Smith,252999
4.2,5447353,105,Kira Snyder,203
4.17,48192,42727,Gena Showalter,762036
3.98,2740668,14766,Dan Wells,134058
3.96,249590,1694,Donna McDonald,14156
4.1,6446003,4316,S.E. Smith,78815
3.83,6404,19696,Jonathan Lethem,191424
4.02,46540,4709,Eileen Wilks,100818
4.12,74046,7763,D.J. MacHale,267153
3.94,6989,10775,Rudyard Kipling,303560
3.94,15091,5166,Chris Claremont,88441
4.03,3425627,1873,Yvonne Woon,17033
3.64,570657,370,Caitlin Davies,1192
4.09,172977,5764,Malorie Blackman,92121
3.96,23613,56684,Emma Donoghue,672976
3.96,1356336,4099,L.A. Banks,88455
3.96,4087274,2549,B.V. Larson,79202
3.78,4747,2291,Adam Gopnik,19995
4.1,675363,1311,Laural Merlington,32139
3.68,5345,1424,Peter Dickinson,14551
3.9,14078,5827,David Brin,165924
4.29,2063919,14687,Michael J. Sullivan,218988
4.04,106,33594,Madeleine L'Engle,1031251
4.0,8048,1039,Jennifer Allison,12209
3.58,4699102,11428,Unknown,349893
4.17,4605878,2663,Ann Charles,27596
3.99,2891665,34005,Gail Carriger,305976
3.89,19365,3523,George Guidall,16380
4.1,73977,18727,Lisa Renee Jones,171774
4.15,3064305,34680,Hugh Howey,469243
3.83,33408,7832,Karen Robards,108398
4.24,4942228,10011,Santino Hassell,52790
4.3,20248,87093,J.R. Ward,1597392
4.09,36122,12379,Patricia C. Wrede,272562
3.97,38840,2049,Algernon Blackwood,23465
3.84,26930,3948,J. Sheridan Le Fanu,53125
3.87,3060067,1239,J.A. Saare,12094
3.86,28525,4975,Washington Irving,150361
3.76,79593,2308,Sarah L. Thomson,15785
4.14,29535,19717,Octavia E. Butler,199973
4.47,374504,5368,Tui T. Sutherland,75441
3.98,5481957,26460,Various,285092
4.22,12948,3770,Rumiko Takahashi,234525
3.66,4025591,2081,Saladin Ahmed,12387
4.09,60513,163,Barry Jones,2755
3.26,1983563,9027,Emma Straub,84731
3.8,12014,5808,Max Allan Collins,64525
3.91,1294984,4930,Beth Kery,101798
3.99,14403,3234,Ambrose Bierce,51100
3.74,6563682,201,Laney McMann,337
4.23,25824,4854,Julio Cortazar,92588
4.02,1445909,2766,Adrian Tchaikovsky,35805
3.92,205,27589,Robert A. Heinlein,928084
4.06,2987125,123652,Kiera Cass,1531033
3.82,8516,10505,Piers Anthony,563747
3.99,6527572,583,K.A. Young,3075
3.78,16304,5973,Julianna Baggott,44319
3.87,47792,1691,Fiona McIntosh,29712
3.87,86404,12522,E.M. Forster,291399
4.07,8840,4042,Jayne Castle,81177
4.07,18015,20278,Joss Whedon,398617
3.74,3206478,929,Laura L. Sullivan,4845
4.02,70032,1157,David Wyatt,10902
4.01,1709139,7906,Celia Kyle,95779
3.83,4720629,1771,Jessica Sims,20298
3.67,6627289,913,Marina Maddix,6894
4.0,6331,20637,Anne Perry,387143
4.06,5602,7242,Simon Vance,59105
3.86,4738,57679,Alexander McCall Smith,708799
4.03,151973,14131,Amy Lane,100316
3.87,10180,2563,Roy Thomas,41606
3.93,6883979,624,Erica Cope,7643
4.13,6092607,651,Debbie Herbert,1996
3.87,17613,13640,Lawrence Block,151251
3.77,3088611,873,Giselle Renarde,4142
3.99,4446653,158,Ray Cluley,747
3.7,2742697,956,Sommer Marsden,6344
4.05,17064,7335,Maggie Shayne,139342
3.98,3124176,1907,Rebecca Soler,5428
4.05,118465,284,Edward Morris,2759
4.19,4,44444,Douglas Adams,2100344
4.16,12076,2916,Russell Hoban,90012
3.87,239579,68221,Charles Dickens,2534985
3.59,426034,9207,Lauren Beukes,67305
3.97,23012,3436,Clifford D. Simak,61155
3.9,3497970,1393,Melissa Darnell,18208
4.0,1630,61746,Ray Bradbury,1738835
4.32,500,10420,Jorge Luis Borges,184691
4.02,6244,15668,Ridley Pearson,223275
3.99,3461329,1550,George Newbern,5619
4.17,4167378,32902,Samantha Young,463595
4.22,96160,697,Lucia St. Clair Robson,6962
4.03,9018,10392,Mike Carey,241667
3.75,223600,1129,Graham McNamee,6723
3.87,696805,19523,Jules Verne,581197
3.94,43697,2830,Keith R.A. DeCandido,40630
3.97,105776,2325,Ted Naifeh,28614
4.18,276660,27256,Joe Abercrombie,472674
3.84,513829,466,Jill Monroe,5290
4.1,9494,18417,H.P. Lovecraft,383222
4.01,381629,353,Moyoco Anno,7276
3.87,1268198,158,R.B. Russell,1103
4.09,4849861,1387,Belinda Boring,13845
3.82,2495,309,Bill Brittain,2681
3.78,47782,398,Andrew Glass,2888
3.94,4615776,14253,Meagan Spooner,89905
4.1,324620,60302,Laini Taylor,483687
3.78,6457430,674,Katie French,5863
3.85,4863270,1185,Kate Avery Ellison,13223
3.77,10275,3690,Graham Masterton,44621
3.76,22995,312,Robin D. Laws,3377
3.81,2152471,5534,Stormy Glenn,104615
4.15,7103612,354,Cassandra Lawson,1362
3.68,703055,740,Sandra Edwards,6994
4.06,4327517,2732,Anne Frasier,40586
3.9,8127,794,William Morris,15456
3.82,58223,649,J.K. Potter,5761
4.13,1221698,256693,Neil Gaiman,4423484
3.5,284559,532,Paul Park,3941
3.92,27167,3911,Peter Watts,43013
3.97,23069,10288,Gene Wolfe,167848
3.72,2919603,1811,Rachel Swirsky,9564
3.8,240708,2786,K.J. Parker,25787
3.9,215044,1977,Adam-Troy Castro,23617
3.53,1105690,212,Samantha Henderson,1435
3.89,54462,2412,Carol Emshwiller,31735
3.98,4511345,322,C.S.E. Cooney,1315
3.64,4918514,5396,Charlie Jane Anders,31189
3.78,4439076,376,Alice Sola Kim,2245
3.94,4175512,1315,Amal El-Mohtar,7527
3.53,221608,3308,Charles Yu,18065
3.79,490342,2593,Steve Rasnic Tem,35335
3.8,481146,3050,John Gardner,43744
4.09,3565,39089,Oscar Wilde,1261671
3.73,456208,1137,Tricia Rayburn,13271
3.91,7116,35126,Cecelia Ahern,596207
4.06,10034,1083,Mike Thaler,22822
3.99,4735,8700,Kathryn Lasky,194821
4.02,472036,4838,Kevin Hawkes,57224
3.63,58654,904,Mary Gentle,9673
4.11,60177,9957,Guy Gavriel Kay,165534
3.74,25334,20902,Sarah Waters,227372
3.9,15873,28110,Cornelia Funke,660795
3.77,325203,2326,Oliver Latsch,19151
3.92,3118938,1828,Andrea Offermann,11951
3.86,947,84149,William Shakespeare,5184553
4.14,4464118,64944,Jamie McGuire,927557
3.75,177047,1684,Carolyn Jewel,13554
3.9,266470,9291,Sherry Thomas,73932
4.05,2880618,644,David Hair,7852
4.06,5332306,3333,R.E. Butler,43473
4.31,4480131,16975,Tiffany Reisz,117843
4.06,7742,9406,Keri Arthur,209401
3.88,4403314,1235,Shoshanna Evers,6106
3.99,4108184,5416,H.P. Mallory,86582
3.63,5877921,675,Zoe Perdita,5728
4.04,2918,2019,Robert Anton Wilson,47873
3.46,70906,1856,John Harwood,13658
3.79,528191,1839,Jeff Woodman,11257
3.97,23001,4287,Fritz Leiber,79632
3.76,13635,8007,Anne Stuart,89831
4.0,97839,214,Sheila Greenwald,1132
3.99,2858537,325,M.K. Hume,3075
3.74,21550,2542,Jim Shepard,18119
3.43,5285,12671,Aimee Bender,79662
3.73,70885,1141,Kate Bernheimer,6941
4.34,7076304,2792,Alanea Alder,37887
4.14,11646,2959,Lynda Barry,33602
3.96,27379,5897,Philip Reeve,61284
3.98,18327,12247,Greg Rucka,176439
3.81,22018,7642,Mervyn Peake,266921
4.07,899110,2851,Carolyn McCormick,13284
3.94,17061,116708,Charlaine Harris,2955654
3.8,5328371,35,Nicole Prestin,89
3.62,31688,13473,M.T. Anderson,107270
4.0,3396368,212,Kathleen Van Cleve,2116
3.99,168647,912,Jaleigh Johnson,5804
4.35,243395,1109,Yoshihiro Togashi,72752
4.43,3091065,1401,Julietta Suzuki,66477
4.27,1977,4931,Tite Kubo,407641
3.85,5098,5904,Laurie Notaro,73220
3.6,443744,594,Susan Denaker,1825
3.64,68992,7401,Ali Smith,56553
3.66,688417,438,Julian Rhind-Tutt,1398
3.8,6469948,799,A.O. Peart,3114
3.79,8170,6442,William  Boyd,65423
4.04,11078,2073,T.A. Barron,68000
3.91,2899437,2181,Khristine Hvam,13142
3.93,2975257,292,Peter Ganim,1062
4.01,2960911,1095,Jay Snyder,6152
3.87,167737,431,Mike Lee,12152
4.11,4041274,76,Eugene Vinaver,14095
3.75,4261985,792,Marie Higgins,5101
4.05,61934,4535,Dorothy Gilman,69427
3.89,14759829,443,John McDonough,2359
3.93,479779,7829,John Ajvide Lindqvist,92958
3.59,4497,1440,Douglas Clegg,16214
3.86,149738,254,Daniel San Souci,1681
3.89,29998,1498,Thomas M. Disch,22035
3.85,84604,1307,Brian M. Stableford,16437
4.22,17054,29783,Kim Harrison,677666
3.73,1346062,662,Catherine Banner,4024
3.81,1343790,3482,Daryl Gregory,21494
3.49,81433,1083,Edgar Wallace,10395
4.23,8596,27046,Tamora Pierce,1126625
3.75,1441593,2910,Moira Rogers,28341
3.88,2820569,1989,Josh Lieb,27958
3.8,454670,716,Marc Thompson,2743
4.32,5829056,21020,Amy Harmon,145199
4.0,1612,23462,Jeffery Deaver,441532
4.17,4637539,57033,Tahereh Mafi,516095
4.18,5816,19181,Darren Shan,464877
4.28,4428,39910,Kresley Cole,718331
3.97,3472,98888,Margaret Atwood,1535280
4.34,27498,24619,Erin Hunter,687291
3.68,3101309,842,Sonia Gensler,3994
3.64,4094048,984,Robin Bridges,6060
3.69,18874,11747,Susan Hill,95472
3.81,27798,796,Chet Williamson,11395
3.94,28574,14178,Jude Deveraux,322308
4.12,234115,10197,Faith Hunter,176065
3.78,6080025,983,Fiona Hardingham,2587
4.16,6216688,3896,Erica Stevens,68037
3.94,14986807,209,James  Nicol,664
4.14,1438,3451,Walt Whitman,105750
3.86,8489,2184,Robert Sheckley,33515
3.77,25125,231,S. Andrew Swann,2451
3.89,6620,1804,Greg Cox,22266
3.92,2001324,2457,John Christopher,38118
4.12,93858,2359,Edith Pattou,36402
3.97,1301649,4503,L.E. Modesitt Jr.,170875
4.36,323656,1238,Akira Himekawa,21478
4.3,57085,8872,Ernest H. Shepard,483628
3.38,5373614,278,Brittany Geragotelis,1347
3.7,1468622,494,Imogen Howson,3433
3.83,1192311,25827,Claudia Gray,308661
3.82,2743336,2158,Tavia Gilbert,7393
3.81,33876,6094,Mary Jo  Putney,72961
3.9,3035791,2038,Crista McHugh,12403
4.02,1315,25778,Louisa May Alcott,1533077
3.74,5070344,206,Taryn Browning,858
3.92,42919,5225,Steven Saylor,71327
4.0,4907397,539,Jayme Morse,11105
3.99,4907398,560,Jody Morse,11635
3.92,23822,774,Edward Ardizzone,9880
3.69,5132,7684,Kate Chopin,178937
4.01,29527,6140,Charlotte Perkins Gilman,144068
3.88,5223,24888,Franz Kafka,816710
3.64,7728,9475,Doris Lessing,136208
3.93,1240,17548,Jack London,566304
3.95,13450,55662,Gabriel Garcia Marquez,1248577
3.81,881203,13952,Willa Cather,200148
3.98,7464,2500,John Cheever,37925
4.18,4624490,22901,Edgar Allan Poe,1040721
4.06,14444,2022,Isaac Bashevis Singer,29276
3.81,6878,14619,John Updike,233263
3.69,1064072,12056,T.C. Boyle,104456
4.27,153394,361037,Suzanne Collins,9359797
4.12,73351,1845,Dan Jolley,53468
3.73,146783,5931,Cecil Castellucci,47954
3.6,215907,3422,Benjamin Percy,19297
4.04,33262,8494,Dan Abnett,142306
3.56,13687893,218,Irena Brignull,824
3.72,221253,12761,Cherie Priest,91500
4.13,2870757,846,Jim Frangione,3381
3.87,811,48790,Yann Martel,1122045
3.49,172879,472,Tony Ballantyne,3413
3.94,7779,24179,Arthur C. Clarke,846128
3.63,6633,1224,Sigrid Nunez,7077
3.78,167605,11291,Guillermo del Toro,132738
3.77,202311,10944,Chuck Hogan,131216
3.34,2714197,41,Sasha Soren,67
3.75,10318,4499,Jo Beverley,53878
4.17,25307,32694,Robin Hobb,882122
4.12,9237,12240,Jacqueline Carey,236679
3.89,8694,8628,Tanith Lee,143720
3.71,61073,3082,Cecelia Holland,22770
3.89,8587,1943,R. Scott Bakker,45733
4.0,869,8566,Margaret Weis,568358
3.97,16028,163,Don Perrin,13303
3.76,16,18614,Edith Wharton,340829
3.97,3237942,2724,Miranda James,18583
3.8,11654,70068,Meg Cabot,1698409
4.09,9845715,1417,Adriana Mather,6483
3.79,4476044,1507,Jamie Fessenden,6762
3.97,54497,1046,David French,22714
3.89,5402447,1590,Kenya Wright,9354
4.05,8605,6064,Mandy M. Roth,44155
4.25,3510823,12117,Walt Disney Company,457629
3.58,71147,2640,Michael Gruber,17561
4.28,4175419,29188,Darynda Jones,293346
4.28,400678,503,Ryohgo Narita,10060
3.83,18738,1639,David Klass,14114
4.04,13479797,2155,E.F. Benson,24458
4.22,42249,296,Alfred Noyes,5405
3.96,1402383,14392,Elizabeth  George,230397
3.98,136127,1874,Robin D. Owens,34172
4.03,6760,22162,Laurie R. King,268900
3.93,2559520,3917,Joseph Fink,25010
3.93,4532873,3795,Jeffrey Cranor,24193
4.09,35760,1858,Charles Perrault,44663
4.16,26405,513,Camille Rose Garcia,5789
4.15,4872191,74629,Abbi Glines,1210082
4.09,2719,2909,Bill Sienkiewicz,55180
3.81,3044224,559,Marc Vietor,2472
3.93,403782,45533,Philip Gabriel,620517
4.44,431316,1296,Lovern Kindzierski,23067
4.01,24978,39251,Maya Banks,681839
3.82,1365342,1379,Stephanie Julian,12198
3.84,2944621,1496,Caridad Pineiro,7812
4.31,34049,25209,John Flanagan,654449
4.18,54848,1397,Trina Robbins,19376
3.9,5050492,5445,Lisa Henry,26955
4.2,1395810,5394,G.A. Aiken,96341
3.66,315657,720,Justin Gustainis,7777
3.91,6944,3265,Jack Finney,40626
3.9,17739,2810,Michael A. Stackpole,111991
3.62,3406,883,Jean Rabe,17330
3.58,2779581,283,Donald J. Bingle,1479
4.55,4698899,5307,Hiromu Arakawa,314831
4.11,1857564,19027,Chloe Neill,306671
3.76,3504,5684,Jacquelyn Mitchard,138825
3.88,151713,584,Cindy Dees,5022
3.98,6915219,138,Elaine Calloway,755
4.08,5255014,9189,J.M. Barrie,229546
4.19,202254,5454,Keith Thompson,64276
3.87,7088116,1117,K.N. Lee,5531
3.93,26457,2258,Rosemary Sutcliff,24737
3.96,588356,8521,Nnedi Okorafor,47100
4.01,3085379,250,Alison Pensy,3071
4.08,2002988,6537,Elisabeth Naughton,82229
3.94,16939,7934,Michael Moorcock,206554
3.93,5099865,3540,Sean Platt,31407
3.95,1228621,1077,Saranna DeWylde,4902
3.8,21616,18083,Ann M. Martin,368092
4.19,4279785,13081,Wendy Higgins,146620
4.44,1077326,448570,J.K. Rowling,18532721
4.12,6521036,822,J.K. Accinni,3137
4.28,4735144,26442,Jay Kristoff,105989
3.88,13787482,162,Carla Corvo,411
4.09,7711592,6159,MacLeod Andrews,94428
3.9,737890,819,Steve  West,2150
3.53,2987888,534,Alexandra Bullen,4286
3.81,923789,775,Cecilia Galante,4296
3.78,361963,5942,Catherine Gilbert Murdock,61434
3.97,5211857,3815,Jen Campbell,19161
3.72,3371,55955,Dave Eggers,551461
3.73,1166851,3237,Bonnie Dee,24111
4.19,6451816,13582,Ella Frank,92538
3.56,1252977,163,Katy Moran,778
4.23,25052,33165,Brandon Mull,534150
3.86,2612,807,Lorie O'Clare,15282
3.89,1637418,1740,Gail Z. Martin,34758
4.49,108424,57075,Patrick Rothfuss,868789
3.96,5989,21136,Jane Yolen,290324
4.03,496121,1909,Brian Pinkney,11905
4.04,5008815,1082,Rick Gualtieri,19099
4.26,8306428,1605,Marissa Honeycutt,12317
4.03,66394,513,Linda Chapman,9182
4.16,4349456,1736,Connie Suttle,40876
4.06,13026,6510,Glen Cook,188312
3.89,3399330,1673,Alex Irvine,15603
3.72,4783513,1935,Lou Harper,10029
3.85,63807,3339,Ken Bruen,30559
3.9,10952,2178,William L. Simon,33652
3.86,3891598,480,Kallie George,2055
4.17,1291826,2574,Alexandra Boiger,76409
4.21,45230,5781,Tove Jansson,87194
4.03,5209023,767,C.L. Moore,10490
4.06,580315,19502,Jennifer Estep,295266
4.06,7338,3962,Kurt Busiek,85820
4.21,57285,5476,Mike Allred,107362
3.91,38860,1256,Gil Kane,14611
4.24,375143,15547,Larissa Ione,271172
3.65,133495,228,Dee Shulman,1501
4.12,8109273,1835,Melanie  James,6810
4.19,6588489,586,Erin Mallon,2456
3.86,4766,4632,Andre Norton,130190
3.84,7244324,295,Robert   Adams,7648
4.05,38120,30926,Brian Selznick,360853
3.84,16024,12857,Greg Bear,452665
3.71,36521,205,Deborah Leblanc,1503
3.64,25027,3429,Graham Joyce,24382
3.6,6462453,280,Kerry Schafer,742
3.46,685776,502,Brian Ruckley,6246
4.04,4197526,1177,Richard Francis Burton,54156
