book_id,title,num_pages,publication_year,average_rating,text_reviews_count,ratings_count,title_without_series,similar_books
8369680,"Wishful Thinking (Wish, #2)",243.0,2011.0,3.74,126,1046,"Wishful Thinking (Wish, #2)","['8608453', '9683225', '8428049', '8273171', '1228841', '7507901', '8464957', '6640500', '8796700', '8579199', '9666830', '7757634', '8253711', '8872162', '5141013', '27074937', '9519916', '8425687']"
22694784,"Cursed by Ice (Immortal Brothers, #2)",288.0,2015.0,3.93,76,384,"Cursed by Ice (Immortal Brothers, #2)","['15814197', '24893041', '21535284', '22450745', '21898304', '25652878', '16130164', '6979452', '17332297', '15762112', '17927298', '25904467', '6284063', '22891495', '23453137', '22293511', '25646358']"
18601927,The Memory Garden,295.0,2014.0,3.5,205,1010,The Memory Garden,"['17675121', '49047', '12814333', '18490622', '22130073', '31559914', '18490637', '827276', '18114114', '18596555', '13591877', '20300230', '24331491', '9678305', '18492612', '22544926', '9545851', '17262149']"
7114042,"Demon Blood (The Guardians, #6)",414.0,2010.0,4.1,66,833,"Demon Blood (The Guardians, #6)","['2336321', '62319', '7044446', '5525372', '6767883', '519663', '3430165', '9765684', '129022', '6555008', '6610498', '10557809', '6614280', '9738582', '26141160', '7242960', '1121497']"
906901,"Odd Thomas (Odd Thomas, #1)",420.0,,3.94,48,586,"Odd Thomas (Odd Thomas, #1)","['64949', '4673605', '10607', '219405', '157533', '908092', '369594', '3335519', '1467324', '11557']"
14069,"Throne of Jade (Temeraire, #2)",398.0,,3.89,1423,23624,"Throne of Jade (Temeraire, #2)","['271356', '74273', '2305862', '15793208', '6375862', '17910078', '7904453', '333356', '880461', '10301749', '13996', '70581', '285208', '3298088', '61904', '821583', '6306686']"
219110,"A Darkling Plain (The Hungry City Chronicles, #4)",544.0,,4.32,150,3260,"A Darkling Plain (The Hungry City Chronicles, #4)","['6072232', '2414574', '102137', '8547207', '7456030', '2010579', '1400134', '645954', '3407703', '11291902', '6922360', '376663', '7492383', '2971026', '8588957', '440329', '6680159', '9931989']"
3249541,"The Search for Truth (Erec Rex, #3)",,2009.0,4.16,56,2086,"The Search for Truth (Erec Rex, #3)","['6578909', '7168592', '9537727', '12184913', '4926996', '1718577', '2602613', '6918087', '3067189', '2475768', '7655716', '1947017', '47910', '3002302', '595602', '6609704', '6764787']"
1157539,The Fairies of Nutfolk Wood,256.0,2006.0,3.74,45,348,The Fairies of Nutfolk Wood,"['26032887', '16115083', '17675850', '811337', '262551', '7737814', '16059421', '13549292', '15717846', '16101149', '1811280', '397202', '1451045', '12159908', '777039']"
108064,"Books of Blood, Volumes 4-6",452.0,,4.27,38,2666,"Books of Blood, Volumes 4-6","['68842', '32462', '826251', '7986449', '219596', '103029', '219635', '12431622', '2265582', '34872', '700449', '455802', '11291', '182567']"
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",662.0,2007.0,4.55,23413,416634,"The Name of the Wind (The Kingkiller Chronicle, #1)","['2767793', '9300768', '6342483', '8253920', '55398', '6585201', '45108', '2890090', '47957', '3428935', '1140216']"
194738,"Witch Hunt (Ophelia & Abby, #4)",292.0,2007.0,4.02,69,1829,"Witch Hunt (Ophelia & Abby, #4)","['3261627', '6056510', '763583', '6350554', '9677446', '6614242', '625858', '7114817', '2285419']"
194739,Blue Bamboo: Japanese Tales of Fantasy,184.0,2001.0,4.01,32,270,Blue Bamboo: Japanese Tales of Fantasy,"['1146863', '765949', '34466', '971986', '62808', '6567438', '765932', '814937', '237118', '14033', '573606', '261495', '2419439', '196150', '535316', '177404', '143440', '765957']"
10650803,"Beauty Dates the Beast (Midnight Liaisons, #1)",353.0,2011.0,3.7,352,4003,"Beauty Dates the Beast (Midnight Liaisons, #1)","['27238448', '10650775', '17834438', '6450262', '7160522', '8547975', '13539451', '10880685', '9798470', '11458531', '13409305', '6991240', '6669826', '15995198', '8025911', '17884655']"
6556422,The Little Secret,240.0,2009.0,3.86,40,189,The Little Secret,"['6040421', '10780523', '5774679', '1965975', '3258374', '643095', '6730372', '7658462', '7298656', '15795038', '3229327', '19246477', '7251081', '3422254', '6276413', '6477991', '1643535', '5168678']"
6945369,The World More Full of Weeping,170.0,2009.0,3.79,51,274,The World More Full of Weeping,"['7775974', '829259', '12852767', '24694081', '26067164', '20764874', '9923934', '6071127', '6979061', '6690215', '26089081', '9663474', '7860885', '1074251', '13279716', '25047101', '6927743', '12464152']"
14976,"Return to Labyrinth, Vol. 1",,,3.57,175,1665,"Return to Labyrinth, Vol. 1","['100623', '5180784', '55453', '3423708', '14977', '8505701', '247901', '1971721', '2270906', '457248', '3198495', '574350', '2636157', '1674303', '30251']"
6537058,Rion (Pendragon Legacy #2),334.0,2009.0,3.87,36,353,Rion (Pendragon Legacy #2),"['6367137', '6304332', '6087903', '4103282', '4915350', '8037903', '8551159', '6000234', '2942419', '6453535', '12381732', '4138041', '1921383', '639061', '3944722', '6856588', '6592513', '400535']"
19288530,"Fire in the Blood (Brimstone Angels, #4)",464.0,2014.0,4.38,46,301,"Fire in the Blood (Brimstone Angels, #4)","['18007558', '18166986', '2729396', '7003320', '5103587', '2379378', '4332482', '23883752', '11768286', '2644375']"
477338,"Blue is for Nightmares (Blue is for Nightmares, #1)",284.0,2003.0,3.81,818,16033,"Blue is for Nightmares (Blue is for Nightmares, #1)","['814487', '333938', '181437', '394749', '6321718', '53135']"
17393102,"Blood of Dragons (The Rain Wild Chronicles, #4)",535.0,2013.0,4.13,49,337,"Blood of Dragons (The Rain Wild Chronicles, #4)","['290452', '10184855', '4039512', '1320107', '1040469', '15989176', '13502958', '15808474', '9471065', '2470411', '8411749', '6585955', '8512555', '2386455', '6579183']"
6928840,Dragons of Darkness,566.0,2010.0,3.5,35,192,Dragons of Darkness,"['1141432', '3977279', '885099', '13126214', '6097660', '495411', '6751642', '13354423', '6460716', '6396207', '7872723', '2473585', '4836077', '6586884', '5646082', '7167845', '317698']"
15847757,"Iniquity (The Premonition, #5)",366.0,2015.0,4.36,462,4010,"Iniquity (The Premonition, #5)","['14755025', '28008653', '13302279', '17931385', '18713438', '16169012', '11289356', '15307649', '13583581', '15740790', '24173870', '12543814', '18456157', '15831968', '17611514', '13504881']"
13234487,"Phantom Shadows (Immortal Guardians, #3)",390.0,2012.0,4.28,233,3907,"Phantom Shadows (Immortal Guardians, #3)","['15985405', '13507265', '13416697', '13581798', '15846228', '10575508', '13486553', '12811730', '13510645', '13517786', '12716317', '12750745']"
12792988,"Chosen Ones (The Lost Souls, #1)",298.0,2012.0,3.71,248,2900,"Chosen Ones (The Lost Souls, #1)","['11647944', '10634286', '12797906', '6931234', '11468074', '11185432', '12367267', '10194637', '12814540', '11362198', '10352973', '12924426', '13425149', '11850771', '10535458', '12432229', '9277339', '11250671']"
9585036,"Phantom Evil (Krewe of Hunters, #1)",368.0,2011.0,3.92,488,5885,"Phantom Evil (Krewe of Hunters, #1)","['398332', '11162228', '609902', '6552044', '7235718', '535766', '6350554', '13075659', '10889249', '13124986', '1590575']"
29738154,"Fantasy of Freedom (The Tainted Accords, #4)",,2016.0,4.51,64,729,"Fantasy of Freedom (The Tainted Accords, #4)","['28372798', '33832888', '22585587', '29986315', '29966062', '28450175', '25974708', '25059637', '27803842', '18395121', '23496336', '26215498', '23488698', '17287235', '25803733', '33123692']"
185117,"Crystal Rain (Xenowealth, #1)",,,3.58,131,1056,"Crystal Rain (Xenowealth, #1)","['77887', '6341582', '1122002', '175940', '7024394', '2412562', '102137', '1132872', '1400134', '7912998', '2473860', '1296444', '185163', '2693142', '6058062', '362021', '778179', '389099']"
10063343,"A Touch of Crimson (Renegade Angels, #1)",344.0,2011.0,3.98,492,7370,"A Touch of Crimson (Renegade Angels, #1)","['10418404', '9443049', '10764210', '10583186', '9765684', '9738483', '11424566', '9498555', '8379305', '17830545', '17256775', '5586134', '10853729', '5975759', '11293194']"
22749511,When My Heart Was Wicked,192.0,2015.0,3.3,113,401,When My Heart Was Wicked,"['22065512', '24396880', '17831753', '17402724', '22291640', '23168806', '22392926', '23383399', '21402784', '21875736', '23567756', '22733612', '25663670', '23359992', '17924944', '24721599', '22009384', '20588931']"
5338,A Christmas Carol and Other Christmas Writings,288.0,2003.0,4.13,348,28834,A Christmas Carol and Other Christmas Writings,"['428537', '8700132', '651799', '556967', '923541', '218659', '32552', '19161904', '1990157', '6665330', '212525', '7842509', '4665', '2918374', '774783']"
13449677,"The Collector (Dante Walker, #1)",352.0,2013.0,3.55,1188,7810,"The Collector (Dante Walker, #1)","['17696369', '21946861', '18545084', '14741366', '13326795', '25792864', '13055677', '15768498', '16046507', '13494365', '17208007', '10346185', '13665100', '12081652']"
15015624,Under Shifting Glass,320.0,2013.0,3.61,51,197,Under Shifting Glass,"['15791055', '15755239', '15790982', '17262283', '16075949', '16153997', '8479679', '15938469', '15814441', '15827644', '13538880', '17323431', '16075911', '18631886', '15823466', '16030634', '18627399', '14814719']"
5099602,"Graceling (Graceling Realm, #1)",352.0,2009.0,4.1,401,2137,"Graceling (Graceling Realm, #1)","['10165761', '10445208', '2964700', '40158', '963508', '12812550', '8069828', '7877549', '2550219', '8288246', '6580510']"
27206431,The Paper Menagerie and Other Stories,450.0,2016.0,4.37,33,136,The Paper Menagerie and Other Stories,"['17131859', '650750', '8879516', '28179656', '18096579', '21535640', '12970063', '20518787', '23620301', '17921102', '25986774', '23719342', '25901253', '17694319', '25330014', '24044142', '22181319', '18489517']"
27385330,Crimson Cove,210.0,2015.0,3.64,55,131,Crimson Cove,"['25555957', '25706993', '29091810', '28686179', '25734442', '18111134', '29101180', '27420773', '17424407', '29101693', '24817462', '30358338', '25391336', '24831535', '27416519', '24893776', '22046412', '34292863']"
676924,"Betrayed (House of Night, #2)",310.0,,3.93,4665,206646,"Betrayed (House of Night, #2)","['7091713', '6267237', '3099787', '263172', '6421588', '675615']"
23561467,"Shadow Study (Soulfinders, #1)",410.0,2015.0,4.08,44,216,"Shadow Study (Soulfinders, #1)","['22062213', '17312156', '17237161', '13508421', '16181630', '20522640', '23496336', '17333180', '26797462', '28815482', '17204332', '28114396', '9755769', '21528313', '22665494', '18716722', '16085457', '17999681']"
147844,"First Rider's Call (Green Rider, #2)",596.0,2004.0,4.2,426,16565,"First Rider's Call (Green Rider, #2)","['641910', '13920', '987508', '734747', '363187', '446946', '129312', '176789', '111012', '338132']"
147842,"The High King's Tomb (Green Rider, #3)",679.0,2007.0,4.22,382,11999,"The High King's Tomb (Green Rider, #3)","['6304351', '446946', '13920', '734747', '222838', '111012', '363187', '14014', '987508', '387709']"
147843,"Green Rider (Green Rider, #1)",471.0,2000.0,4.09,1209,24461,"Green Rider (Green Rider, #1)","['987508', '2880573', '111012', '13920', '641910', '1022209', '66317', '176789', '21060', '129312', '264065', '720977']"
691582,Space Wolf,283.0,2003.0,4.1,33,940,Space Wolf,"['691583', '752459', '1692145', '1448327', '81259', '6332907', '1138069', '1155173', '463988']"
25659433,In the Labyrinth of Drakes (The Memoirs of Lady Trent #4),352.0,2016.0,4.36,38,127,In the Labyrinth of Drakes (The Memoirs of Lady Trent #4),"['12987423', '10315764', '20404555', '25489511', '22749736', '19276094', '11253020', '20518892', '25615226', '16059411', '9250950', '25791216', '12291646', '24611470', '433716', '16239655', '11170698']"
25659436,Nightstruck (Nightstruck #1),304.0,2016.0,3.4,102,298,Nightstruck (Nightstruck #1),"['26173359', '23510085', '33509076', '27414411', '27015399', '22400511', '26244485', '26032825', '25796019', '25894017', '28524058', '22639535', '25874097', '24157098', '28954189', '31371729']"
8585377,A Hard Day's Fright (Pepper Martin #7),304.0,2011.0,4.09,65,878,A Hard Day's Fright (Pepper Martin #7),"['6350554', '7303030', '12486238', '8489034', '13518663', '6566955', '11771566', '10573384', '15746786', '9740560']"
17998,"The Eternity Code (Artemis Fowl, #3)",309.0,2005.0,4.04,116,1513,"The Eternity Code (Artemis Fowl, #3)","['47910', '47618', '112968', '106129', '334012', '4617762', '3485562', '215542', '59263', '107669', '58894', '519933']"
1375896,"Queste (Septimus Heap, #4)",596.0,2008.0,4.04,875,41860,"Queste (Septimus Heap, #4)","['5801741', '187315', '2854962', '333953', '6580970', '8875620', '5155532', '2073686', '3615152', '6185409', '298568', '47618', '6889348']"
18176532,Sacrificed in Shadow (Ascension #1),328.0,2013.0,4.02,136,1281,Sacrificed in Shadow (Ascension #1),"['18306582', '17888320', '17853385', '16068999', '12682437', '13337559', '17705776', '16280307', '15725316', '24039847', '25834619', '13065743', '13452658', '35232671', '17348062', '13131282', '4916989', '18621331']"
1122023,The Harrowing,247.0,2006.0,3.68,196,1282,The Harrowing,"['10845465', '9367827', '23841', '1035647', '1666365', '6684490', '13086449', '25884402', '13393308', '13556139', '13040265', '17563580', '12296004', '11842328', '13052395', '2583561', '7980210', '15849654']"
1122026,20th Century Ghosts,13.0,2007.0,3.95,34,87,20th Century Ghosts,"['8038401', '3547312', '2808929', '6997385', '293098', '763498', '33554', '911954', '177866', '1911706', '2452401', '11555', '179738', '23793', '8889080']"
28660,"The Curse of the Mistwraith (Wars of Light and Shadow, #1)",830.0,2009.0,3.74,169,4136,"The Curse of the Mistwraith (Wars of Light and Shadow, #1)","['6900601', '10928630', '3531469', '437790', '1348596', '8684418', '9601072', '153220', '202039', '5037673', '6401209', '5863651', '3391271', '4914044', '57691', '498214', '469208', '7564251']"
13507921,"Fragile Spirits (Souls, #2)",311.0,2014.0,4.03,84,602,"Fragile Spirits (Souls, #2)","['15697915', '12543814', '18371377', '13399051', '12852064', '16081764', '10606258', '12568641', '9982010', '11558268', '11413298', '18297655', '9755769', '19471754', '11974142', '13649079', '13533644']"
6775624,"Black Bird, Vol. 03 (Black Bird, #3)",200.0,2010.0,4.3,119,9643,"Black Bird, Vol. 03 (Black Bird, #3)","['6613611', '6494601', '6523876', '7136755', '497248', '10261532', '6322519', '1896344']"
6775623,"Black Bird, Vol. 04 (Black Bird, #4)",200.0,2010.0,4.29,88,6570,"Black Bird, Vol. 04 (Black Bird, #4)","['5321787', '8079278', '6801621', '5147134', '8161093', '1997428', '6801616', '6769060']"
13878,"Prince of the Blood (Krondor's Sons, #1)",448.0,2007.0,3.95,142,16840,"Prince of the Blood (Krondor's Sons, #1)","['1040470', '568095', '243298', '558656', '1847010', '13224616', '3115493']"
1459209,"Inda (Inda, #1)",616.0,2007.0,3.99,46,229,"Inda (Inda, #1)","['1385783', '2436617', '540832', '1140216', '219811', '97967', '1146575', '342659', '793297', '3839996', '384352', '208740', '367336', '821583']"
31429077,The Blue Moon Narthex,360.0,2017.0,3.46,68,106,The Blue Moon Narthex,[]
1004234,"Perelandra (Space Trilogy, #2)",222.0,,3.97,59,422,"Perelandra (Space Trilogy, #2)","['143223', '268187', '899146', '10954417', '17190364', '73930', '1800794', '16184825', '1939096']"
833332,"The Time Thief (The Gideon Trilogy, #2)",488.0,2007.0,3.92,212,3213,"The Time Thief (The Gideon Trilogy, #2)","['3240083', '8927997', '3457753', '6750319', '11248603', '1369202', '10066399', '2144899', '4479186', '7507920', '16248073', '13356176', '6553137', '13262797', '4836030', '15735587', '6609704', '11046072']"
6474771,"Wings (Wings, #1)",360.0,,3.75,137,867,"Wings (Wings, #1)","['8161632', '3064985', '501910', '3472820', '3817859', '6380822', '8070049', '4070493', '5152561', '3649147', '6076413', '5495243']"
9466032,"A Tale of Two Castles (A Tale of Two Castles, #1)",328.0,2011.0,3.73,743,6558,"A Tale of Two Castles (A Tale of Two Castles, #1)","['6917434', '15991959', '6973671', '9588207', '332626', '7824314', '8444951', '9462664', '9668661', '7197913', '8873458', '10471419', '6730372', '794615']"
409796,Almuric,155.0,2008.0,3.76,42,849,Almuric,"['40372', '1705071', '109488', '1531197', '399039', '1881716', '938637', '715274']"
395953,"Ship of Destiny (Liveship Traders, #3)",903.0,2001.0,4.21,48,576,"Ship of Destiny (Liveship Traders, #3)","['401434', '2386455', '437785', '2443516', '274416', '181494', '91965', '558681', '74271', '2272111', '1937398']"
11365223,"Toonopolis: Gemini (Toonopolis Files, #1)",314.0,2011.0,4.01,37,61,"Toonopolis: Gemini (Toonopolis Files, #1)","['10880532', '11938249', '13505839', '6632179', '11451305', '10817583', '11984788', '12922874', '18776543', '11861894', '85570', '8285655', '18842194', '6555025', '11713438', '15859585', '10046509', '520967']"
7980210,The Cabin in the Woods: The Official Movie Novelization,297.0,2012.0,3.66,90,795,The Cabin in the Woods: The Official Movie Novelization,"['9141341', '10213208', '10839173', '107012', '19543244', '207475', '785698', '609873', '178234', '1121760', '11242882', '9458232', '12989420', '12966867', '18737', '72469', '129352']"
11795449,"Shell Game (Kingdom Keepers, #5)",544.0,2012.0,4.15,268,3901,"Shell Game (Kingdom Keepers, #5)","['10552088', '36642', '6871095', '13533687', '7109229', '7914258', '4720743', '4901837', '122354', '11433585', '9938772', '430349', '16250923', '17454095']"
1599297,"Embrace The Darkness (Guardians of Eternity, #2)",334.0,,4.15,251,7648,"Embrace The Darkness (Guardians of Eternity, #2)","['7199017', '5830325', '3474898', '9618561', '6177429', '7553944', '3331431', '293616', '9316050', '10575508', '6308141', '7181792']"
12063158,"Witch & Wizard (Witch & Wizard, #1)",314.0,2010.0,3.57,314,2776,"Witch & Wizard (Witch & Wizard, #1)","['7245329', '479326', '24766', '9460533', '9550620', '2951911', '6503718', '4907084', '5278010', '8677937', '6308417', '21758510', '7739310', '7129468', '6681333', '2090640', '1396684']"
23005844,"Hidden (Alpha Wolf's Pet, #1)",130.0,2014.0,4.03,42,66,"Hidden (Alpha Wolf's Pet, #1)","['23587626', '26092157', '25117064', '25946033', '24964078', '24702908', '25872939', '25884285', '18622531', '25268635', '22006563', '25342432', '22031480', '26016291', '26047972']"
18271251,"Silevethiel (The Vaelinel Trilogy, #1)",256.0,2013.0,3.37,59,108,"Silevethiel (The Vaelinel Trilogy, #1)","['35155299', '6712067', '25365390', '18600069', '18740114', '27984411', '16071908', '17971347', '17789688', '6399307', '16150019', '16050185', '23183767', '91813', '16093271', '29065483', '13264490', '13182274']"
7642463,Sunshine,406.0,,3.85,110,559,Sunshine,"['11933', '248533', '77364', '567708', '97961', '12594400', '473869', '92718', '51106', '70581', '10783217', '367158', '5552232', '176261']"
6383800,"Dragon Kiss (The Tales of the Frog Princess, #7)",,,4.08,120,4330,"Dragon Kiss (The Tales of the Frog Princess, #7)","['5933646', '13860', '2662886', '332626', '2430999', '27880', '8364977', '11594370', '175348', '6334518', '5892240', '6973671', '2073686', '948090']"
17218790,The Ocean at the End of the Lane,250.0,2013.0,3.99,41,150,The Ocean at the End of the Lane,"['437093', '13538708', '15161', '20499240', '12009173', '15791586', '17165902', '7923006', '2939570', '22886868', '17910048', '12941033', '10836728', '9955669', '16164271', '6881685', '16789']"
13423867,Call of the Sea,323.0,2012.0,3.86,48,129,Call of the Sea,"['13410587', '15927475', '17281625', '16005251', '17887777', '13139452', '3651626', '17177998', '15893123', '15851448', '10229008', '11735726', '11843054', '14467976', '9440162', '18629086', '15739430']"
